"","Predicted","Actual"
"Catonella_morbi",0.528466912111772,0.507788161993769
"Lachnoanaerobaculum_saburreum",0.539579719906823,0.501557632398754
"Prevotella_veroralis",0.381781908889792,0.485981308411215
"Atopobium_parvulum",0.348992111935657,0.485981308411215
"Gemella_sanguinis",0.481595328525299,0.485981308411215
"Prevotella_maculosa",0.328085940356574,0.467289719626168
"Solobacterium_moorei",0.357773435839512,0.467289719626168
"Anaeroglobus_geminatus",0.265845690008106,0.442367601246106
"Treponema_lecithinolyticum",0.319302008540601,0.442367601246106
"Treponema_socranskii",0.428205095378313,0.426791277258567
"Atopobium_rimae",0.243144861227827,0.426791277258567
"Peptostreptococcus_stomatis",0.436912347776834,0.404984423676012
"Alloprevotella_tannerae",0.412267814460482,0.404984423676012
"Treponema_medium",0.422197127033576,0.404984423676012
"Oribacterium_sinus",0.461302117750716,0.389408099688474
"Prevotella_intermedia",0.299188896742497,0.383177570093458
"Bulleidia_extructa",0.268025268258913,0.376947040498442
"Prevotella_denticola",0.191791118168907,0.370716510903427
"Dialister_invisus",0.404608312438265,0.364485981308411
"Treponema_maltophilum",0.443122922431647,0.358255451713396
"Fusobacterium_nucleatum",0.625138258418632,0.35202492211838
"Porphyromonas_endodontalis",0.269965303532282,0.345794392523364
"Eubacterium_brachy",0.289178047279362,0.336448598130841
"Parvimonas_micra",0.331141233689403,0.336448598130841
"Treponema_vincentii",0.441537986584716,0.327102803738318
"Porphyromonas_gingivalis",0.344563518553839,0.314641744548287
"Tannerella_forsythia",0.331737991315531,0.308411214953271
"Prevotella_oris",0.581332861585017,0.302180685358255
"Treponema_denticola",0.451966977045719,0.29595015576324
"Filifactor_alocis",0.443651383230822,0.289719626168224
"Streptococcus_vestibularis",0.461294097836154,0.258566978193146
"Prevotella_pallens",0.38714343269269,0.258566978193146
"Bifidobacterium_dentium",0.468784542125126,0.258566978193146
"Neisseria_subflava",0.363964327163887,0.258566978193146
"Megasphaera_micronuciformis",0.422116229485029,0.258566978193146
"Cryptobacterium_curtum",0.261185183303987,0.258566978193146
"Streptococcus_constellatus",0.129396597624869,0.221183800623053
"Aggregatibacter_actinomycetemcomitans",0.213802721990234,0
"Neisseria_sicca",0.499662216288385,0
"Prevotella_scopos",0.0500094894924202,0
"Mogibacterium_diversum",0.0610907499032847,0
"Eubacterium_nodatum",0.116644627249914,0
"Olsenella_uli",0.174621329120813,0
"Prevotella_dentalis",0.0804976328453874,0
"Campylobacter_curvus",0.259450314373327,0
"Streptococcus_sobrinus",0.304839575663174,0
"Slackia_exigua",0.176715692415625,0
"Propionibacterium_acidifaciens",0.322728728927774,0
"Streptococcus_parasanguinis",0.414779225717754,0
"Prevotella_oralis",0.357898511972973,0
