"","Predicted","Actual"
"Streptococcus_thermophilus",0.241120004211627,0.798804780876494
"Streptococcus_anginosus",0.731943167500936,0.798804780876494
"Lachnoanaerobaculum_umeaense",0.606735866451549,0.798804780876494
"Kingella_denitrificans",0.718593660548422,0.798804780876494
"Selenomonas_artemidis",0.607779350915896,0.770916334661355
"Actinomyces_johnsonii",0.52268024946627,0.770916334661355
"Solobacterium_moorei",0.653965325910968,0.764940239043825
"Aggregatibacter_aphrophilus",0.724429319758005,0.760956175298805
"Streptococcus_mitis",0.704252151136911,0.756972111553785
"Streptococcus_parasanguinis",0.767630787710581,0.749003984063745
"Eubacterium_yurii",0.582182441894547,0.745019920318725
"Fusobacterium_nucleatum",0.610925649254832,0.741035856573705
"Atopobium_parvulum",0.57868093645731,0.733067729083665
"Oribacterium_sinus",0.551230186629765,0.733067729083665
"Streptococcus_gordonii",0.747633173029951,0.733067729083665
"Leptotrichia_hongkongensis",0.596668579305964,0.725099601593626
"Streptococcus_oralis",0.771725608278113,0.721115537848606
"Treponema_medium",0.55246821512596,0.717131474103586
"Treponema_maltophilum",0.436990349712262,0.713147410358566
"Aggregatibacter_actinomycetemcomitans",0.302763445308021,0.709163346613546
"Rothia_dentocariosa",0.758755853777871,0.705179282868526
"Capnocytophaga_gingivalis",0.802454258957263,0.701195219123506
"Actinomyces_oris",0.732141016988512,0.693227091633466
"Streptococcus_intermedius",0.69498806705545,0.683266932270916
"Gemella_sanguinis",0.782486213962248,0.683266932270916
"Stomatobaculum_longum",0.617984579373382,0.683266932270916
"Prevotella_pallens",0.601575415509678,0.651394422310757
"Campylobacter_rectus",0.494653116588903,0.651394422310757
"Leptotrichia_trevisanii",0.701814122219673,0.651394422310757
"Streptococcus_lactarius",0.353945970503949,0.651394422310757
"Treponema_vincentii",0.614108144818636,0.651394422310757
"Stenotrophomonas_maltophilia",0.405464339823803,0.617529880478088
"Abiotrophia_defectiva",0.478171053432273,0.617529880478088
"Paludibacter_propionicigenes",0.16964347737256,0.617529880478088
"Atopobium_rimae",0.490995681140982,0.617529880478088
"Veillonella_dispar",0.752140846242641,0.597609561752988
"Olsenella_uli",0.434993448193043,0.593625498007968
"Porphyromonas_gingivalis",0.494010489051546,0.589641434262948
"Rothia_mucilaginosa",0.590889774236388,0.585657370517928
"Prevotella_oralis",0.374160423523298,0.581673306772908
"Prevotella_oris",0.516316423196105,0.577689243027888
"Peptococcus_niger",0.486186468000829,0.571713147410359
"Actinomyces_graevenitzii",0.756617796890041,0.565737051792829
"Peptostreptococcus_stomatis",0.562184970100764,0.557768924302789
"Prevotella_nigrescens",0.504231243524072,0.553784860557769
"Leptotrichia_shahii",0.46994260784577,0.543824701195219
"Actinomyces_hongkongensis",0.538667523119012,0.543824701195219
"Megasphaera_micronuciformis",0.609532182381585,0.533864541832669
"Prevotella_micans",0.341557426209142,0.529880478087649
"Porphyromonas_endodontalis",0.68654807294121,0.525896414342629
"Prevotella_maculosa",0.305760699255657,0.52191235059761
"Eubacterium_sulci",0.505405449492972,0.51394422310757
"Treponema_socranskii",0.329242636246791,0.50996015936255
"Anaeroglobus_geminatus",0.35984441106249,0.50398406374502
"Alloprevotella_tannerae",0.261923048546554,0.50398406374502
"Catonella_morbi",0.53463652315944,0.49800796812749
"Propionibacterium_acidifaciens",0.0811650263631943,0.49203187250996
"Dialister_invisus",0.538921856433914,0.48605577689243
"Streptococcus_mutans",0.445576783773995,0.48207171314741
"Tannerella_forsythia",0.298591593223067,0.47808764940239
"Filifactor_alocis",0.671528196560326,0.474103585657371
"Slackia_exigua",0.503658029100673,0.470119521912351
