"","Predicted","Actual"
"Streptococcus_peroris",0.199209355389514,0.350710900473934
"Veillonella_dispar",0.710048611832194,0.345971563981043
"Neisseria_subflava",0.120036717942002,0.338862559241706
"Neisseria_perflava",0.126618219902355,0.338862559241706
"Acinetobacter_johnsonii",0.28698402659181,0.300947867298578
"Selenomonas_ruminantium",0.300405261042391,0.300947867298578
"Streptococcus_intermedius",0.164800548983536,0.300947867298578
"Veillonella_rodentium",0.566694542020145,0.300947867298578
"Campylobacter_gracilis",0.268265901717299,0.300947867298578
"Actinomyces_massiliensis",0.103186490549004,0.300947867298578
"Prevotella_micans",0.216065993709144,0.300947867298578
"Actinomyces_israelii",0.209353837960964,0.300947867298578
"Streptococcus_infantis",0.31698307830864,0
"Butyrivibrio_hungatei",0.431128165359788,0
"Streptococcus_vestibularis",0.24530766699965,0
"Leptotrichia_buccalis",0.478800999713322,0
"Neisseria_cinerea",0.0543077980830981,0
"Neisseria_sicca",0.201721828004853,0
"Treponema_denticola",0.400362800596805,0
"Eubacterium_brachy",0.363016901328131,0
"Prevotella_denticola",0.356658357342928,0
"Prevotella_scopos",0.24435414640349,0
"Actinomyces_oris",0.453157734840199,0
"Streptococcus_cristatus",0.185006092480786,0
"Eubacterium_nodatum",0.428773622151733,0
"Anaeroglobus_geminatus",0.216751976663505,0
"Olsenella_uli",0.156133644824073,0
"Treponema_pedis",0.203795139125662,0
"Campylobacter_curvus",0.231328219457721,0
"Prevotella_bivia",0.447398870860492,0
"Selenomonas_noxia",0.154824852383554,0
"Bifidobacterium_dentium",0.495041655419408,0
"Porphyromonas_gingivalis",0.564740086360472,0
"Streptococcus_sobrinus",0.183342534046359,0
"Streptococcus_agalactiae",0.1962384563304,0
"Bacteroides_intestinalis",0.465609602191104,0
"Helicobacter_pylori",0.309855800914759,0
"Slackia_exigua",0.156001832067533,0
"Actinomyces_viscosus",0.338154891238304,0
"Cardiobacterium_valvarum",0.262145668720505,0
"Corynebacterium_argentoratense",0.0444751680858144,0
"Parascardovia_denticolens",0.0787457871887682,0
"Streptobacillus_moniliformis",0.0885641362709754,0
"Prevotella_oralis",0.206481784539115,0
"Pseudomonas_aeruginosa",0.459468215294929,0
"Treponema_lecithinolyticum",0.258951708821682,0
"Neisseria_macacae",0.20855767824049,0
"Lactobacillus_reuteri",0.293420065853702,0
"Mobiluncus_curtisii",0.00572218414426268,0
"Simonsiella_muelleri",0.0549136479683986,0
"Capnocytophaga_ochracea",0.494525478262219,0
"Bulleidia_extructa",0.270494064381328,0
"Haemophilus_parahaemolyticus",0.256830164727617,0
"Lactobacillus_salivarius",0.355175887675191,0
"Capnocytophaga_haemolytica",0.275433078956199,0
"Actinomyces_cardiffensis",0.0366118264665678,0
"Escherichia_coli",0.361572955404174,0
"Lactobacillus_fermentum",0.243597688227058,0
"Granulicatella_elegans",0.038680642611286,0
"Cryptobacterium_curtum",0.0754790521759443,0
"Lactococcus_lactis",0.333968913750982,0
"Campylobacter_rectus",0.39174595877459,0
"Streptococcus_constellatus",0.0750189337839277,0
"Scardovia_wiggsiae",0.109950705446466,0
"Prevotella_saccharolytica",0.463727983114831,0
"Prevotella_buccae",0.130362591843354,0
"Alloscardovia_omnicolens",0.0387267855876703,0
"Streptococcus_mutans",0.218009117568891,0
"Streptococcus_anginosus",0.141584331499061,0
"Aggregatibacter_aphrophilus",0.364137680817662,0
"Neisseria_mucosa",0.22416315896284,0
"Kingella_denitrificans",0.341173892235686,0
"Neisseria_bacilliformis",0.156274098108004,0
"Lactobacillus_gasseri",0.12605987736728,0
"Selenomonas_artemidis",0.131956130265674,0
"Aggregatibacter_segnis",0.366165282190164,0
"Prevotella_multiformis",0.109618375777198,0
"Actinomyces_turicensis",0.0641902680541593,0
"Sneathia_sanguinegens",0.115786888861532,0
"Treponema_maltophilum",0.186108177410196,0
"Butyrivibrio_proteoclasticus",0.159402766140364,0
"Haemophilus_haemolyticus",0.253596430673376,0
"Peptostreptococcus_anaerobius",0.398639416990407,0
"Staphylococcus_aureus",0.401056374243023,0
"Actinomyces_johnsonii",0.102279565917162,0
"Kingella_kingae",0.107503322550715,0
