"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","HAC_Score","HAC_Score_RankScaled","mean_scores","RewardGini","HAC_Score_confirm"
"Cardiobacterium_valvarum",0.706849315068493,0.871311678876309,0.824407781018796,0.746035470385261,0.949799196787149,0.8008562583212,0.931547281592258,0.746035470385261
"Actinomyces_odontolyticus",0.958904109589041,0.73572864321608,0.761200684883784,0.744219323771982,0.947791164658635,0.818611145896302,0.909124347381237,0.744219323771982
"Haemophilus_pittmaniae",0.720547945205479,0.887581178987306,0.76219607132164,0.734430653910866,0.94578313253012,0.790108398504808,0.929531511499807,0.734430653910866
"Leptotrichia_wadei",0.938356164383562,0.659015862444754,0.861535235820668,0.726522320236725,0.943775100401606,0.819635754216328,0.88639656884096,0.726522320236725
"Oribacterium_sinus",0.916438356164384,0.627201771911768,0.959597185294522,0.72361396666264,0.941767068273092,0.834412437790225,0.867213782885341,0.72361396666264
"Propionibacterium_propionicum",0.706849315068493,0.749332606809146,0.757619047635544,0.721010412315378,0.939759036144578,0.737933656504394,0.977066713193185,0.721010412315378
"Leptotrichia_goodfellowii",0.76986301369863,0.693390446206938,0.858580426644771,0.718881302037502,0.937751004016064,0.773944628850113,0.928853661153485,0.718881302037502
"Prevotella_oulorum",0.894520547945206,0.619283263708099,0.931301576808862,0.711029025120468,0.93574297188755,0.815035129487389,0.872390648446853,0.711029025120468
"Prevotella_salivae",1,0.629500615527436,0.862691090220211,0.707230773758361,0.933734939759036,0.830730568582549,0.851335921061733,0.707230773758361
"Prevotella_loescheii",0.865753424657534,0.656274343605578,0.807616942108782,0.706721876439979,0.931726907630522,0.776548236790631,0.910081103732545,0.706721876439979
"Neisseria_meningitidis",0.66027397260274,0.917543238279752,0.791029342781191,0.703859095995557,0.929718875502008,0.789615517887894,0.891394710527317,0.703859095995557
"Leptotrichia_hongkongensis",0.80958904109589,0.637858973582773,0.816447801475442,0.695102329420479,0.927710843373494,0.754631938718035,0.921114378754383,0.695102329420479
"Eubacterium_infirmum",0.706849315068493,0.694845512704083,0.695234066271452,0.694975030559873,0.92570281124498,0.698976298014676,0.994275531994191,0.694975030559873
"Streptococcus_mutans",0.671232876712329,0.706955460031079,0.807554253846441,0.683140404485246,0.923694779116466,0.72858086352995,0.937631550155536,0.683140404485246
"Orientia_tsutsugamushi",0.591780821917808,0.956406631551331,0.860571526272323,0.681377723369313,0.921686746987952,0.802919659913821,0.848625033596072,0.681377723369313
"Actinomyces_massiliensis",0.683561643835616,0.994674375895542,0.680192861325685,0.681315788828996,0.919678714859438,0.786142960352281,0.866656350294976,0.681315788828996
"Neisseria_oralis",0.671232876712329,0.729550261346895,0.701335023207965,0.681266925544208,0.917670682730924,0.70070605375573,0.972257798962447,0.681266925544208
"Streptobacillus_moniliformis",0.621917808219178,0.862795705434805,0.761014437646868,0.668283351361742,0.91566265060241,0.74857598376695,0.892739502540325,0.668283351361742
"Neisseria_flavescens",0.923287671232877,0.945751448003068,0.540594689726743,0.668159016895454,0.913654618473896,0.803211269654229,0.831859614199745,0.668159016895454
"Gemella_sanguinis",0.912328767123288,0.541950515630361,0.925502850590598,0.66540993279467,0.911646586345382,0.793260711114749,0.838828803029443,0.66540993279467
"Corynebacterium_durum",0.850684931506849,0.96565145002119,0.57026836257984,0.663740552222177,0.909638554216867,0.795534914702627,0.834332396926017,0.663740552222177
"Porphyromonas_gingivalis",0.720547945205479,0.623742003188634,0.775701531538372,0.656010650527582,0.907630522088353,0.706663826644162,0.928320689121554,0.656010650527582
"Peptococcus_niger",0.645205479452055,0.658801638715667,0.774189525681193,0.649737532539925,0.905622489959839,0.692732214616305,0.937934628750889,0.649737532539925
"Actinomyces_meyeri",0.645205479452055,0.656641541038526,0.816437718555124,0.649017499980879,0.903614457831325,0.706094913015235,0.919164673215646,0.649017499980879
"Corynebacterium_matruchotii",0.872602739726027,0.639059453895986,0.655417637161231,0.644512181651068,0.901606425702811,0.722359943594415,0.892231341682677,0.644512181651068
"Haemophilus_sputorum",0.731506849315068,0.979807269278117,0.594375626871922,0.640086034352971,0.899598393574297,0.768563248488369,0.832834559305183,0.640086034352971
"Streptococcus_australis",0.645205479452055,0.903754212831224,0.636853294207231,0.639637355955506,0.897590361445783,0.72860432883017,0.877893982571436,0.639637355955506
"Leptotrichia_trevisanii",0.782191780821918,0.566865149038364,0.875412654299426,0.638640692966216,0.895582329317269,0.741489861386569,0.861293897898984,0.638640692966216
"Veillonella_tobetsuensis",0.621917808219178,0.736299570139856,0.664846567597666,0.636227394678674,0.893574297188755,0.674354648652233,0.943461123831858,0.636227394678674
"Neisseria_subflava",0.645205479452055,0.953080260741458,0.620209812542651,0.628541701512452,0.891566265060241,0.739498517578721,0.849956675464927,0.628541701512452
"Stomatobaculum_longum",0.947945205479452,0.465006558898912,0.958744367935132,0.625986107759092,0.889558232931727,0.790565377437832,0.79182079765227,0.625986107759092
