"","HAC_Score_RankScaled","HACK_16s","HACK_WGS","HAC_Exposure"
"Atopobium_rimae",0.678714859437751,0.769230769230769,0.767543859649123,0.747652582159624
"Lautropia_mirabilis",0.676706827309237,0.848232848232848,0.280701754385965,0.727699530516432
"Leptotrichia_sp_oral_taxon_215",0.674698795180723,NA,0.771929824561403,NA
"Lachnoanaerobaculum_orale",0.672690763052209,0.700623700623701,NA,0.805164319248826
"Dialister_succinatiphilus",0.670682730923695,0.702702702702703,NA,0.386150234741784
"Mycoplasma_faucium",0.668674698795181,0.717255717255717,NA,0.805164319248826
"Treponema_medium",0.666666666666667,0.675675675675676,0.842105263157895,0.805164319248826
"Prevotella_jejuni",0.664658634538153,0.67983367983368,0.855263157894737,0.386150234741784
"Actinomyces_gerencseriae",0.662650602409639,0.735966735966736,NA,0.386150234741784
"Rothia_mucilaginosa",0.660642570281124,0.636174636174636,0.921052631578947,0.747652582159624
"Parvimonas_micra",0.65863453815261,0.725571725571726,0.267543859649123,0.944835680751174
"Eikenella_corrodens",0.656626506024096,0.708939708939709,0.631578947368421,0.805164319248826
"Slackia_exigua",0.654618473895582,0.802494802494803,0.151315789473684,0.386150234741784
"Actinomyces_hyovaginalis",0.652610441767068,0.650727650727651,NA,0
"Prevotella_buccae",0.650602409638554,0.694386694386694,0.285087719298246,0.805164319248826
"Streptococcus_oligofermentans",0.64859437751004,0.669438669438669,NA,0.386150234741784
"Mogibacterium_timidum",0.646586345381526,0.634095634095634,0.491228070175439,0.386150234741784
"Selenomonas_sputigena",0.644578313253012,0.652806652806653,0.543859649122807,0.805164319248826
"Streptococcus_cristatus",0.642570281124498,0.62993762993763,0.701754385964912,0.386150234741784
"Treponema_succinifaciens",0.640562248995984,0.332640332640333,NA,0.805164319248826
"Propionibacterium_acnes",0.63855421686747,0.659043659043659,0.228070175438596,0.386150234741784
"Porphyromonas_somerae",0.636546184738956,0.399168399168399,0.75,0.386150234741784
"Veillonella_atypica",0.634538152610442,0.588357588357588,0.912280701754386,0.685446009389671
"Morococcus_cerebrosus",0.632530120481928,0.621621621621622,0.100877192982456,0.386150234741784
"Dialister_pneumosintes",0.630522088353414,0.713097713097713,0.138157894736842,0.727699530516432
"Prevotella_intermedia",0.6285140562249,0.808731808731809,0.574561403508772,0.872065727699531
"Bacillus_pumilus",0.626506024096386,0.696465696465696,NA,0
"Lactococcus_lactis",0.624497991967871,0.61954261954262,0.543859649122807,0
"Bacillus_cereus",0.622489959839357,0.667359667359667,NA,0
"Treponema_maltophilum",0.620481927710843,0.632016632016632,0.0745614035087719,0.872065727699531
"Selenomonas_artemidis",0.618473895582329,0.600831600831601,0.254385964912281,0.805164319248826
"Veillonella_caviae",0.616465863453815,0.654885654885655,NA,0.386150234741784
"Schwartzia_succinivorans",0.614457831325301,0.79002079002079,NA,0.690140845070423
"Veillonella_dispar",0.612449799196787,0.607068607068607,0.978070175438597,0.690140845070423
"Actinomyces_naeslundii",0.610441767068273,0.719334719334719,0.109649122807018,0.805164319248826
"Prevotella_marshii",0.608433734939759,0.326403326403326,0.25,0.805164319248826
"Pseudomonas_putida",0.606425702811245,0.627858627858628,NA,0.386150234741784
"Acinetobacter_lwoffii",0.604417670682731,0.642411642411642,NA,0.386150234741784
"Kingella_potus",0.602409638554217,0.644490644490645,NA,0.386150234741784
"Neisseria_sicca",0.600401606425703,0.145530145530146,0.754385964912281,0.386150234741784
"Bulleidia_extructa",0.598393574297189,0.602910602910603,0.364035087719298,0.805164319248826
"Bifidobacterium_longum",0.596385542168675,0.692307692307692,0.192982456140351,0.386150234741784
"Rothia_dentocariosa",0.594377510040161,0.683991683991684,0.565789473684211,0.747652582159624
"Prevotella_scopos",0.592369477911647,0.557172557172557,0.679824561403509,0.386150234741784
"Moryella_indoligenes",0.590361445783133,0.511434511434511,NA,0
"Simonsiella_muelleri",0.588353413654618,0.550935550935551,0.245614035087719,0.386150234741784
"Cryptobacterium_curtum",0.586345381526104,0.611226611226611,0.324561403508772,0.386150234741784
"Streptococcus_suis",0.58433734939759,0.463617463617464,NA,0
"Anaerostipes_hadrus",0.582329317269076,0.559251559251559,NA,0.386150234741784
"Treponema_refringens",0.580321285140562,0.59043659043659,NA,0.386150234741784
"Streptococcus_sp_A12",0.578313253012048,NA,0.62719298245614,NA
"Terrahaemophilus_aromaticivorans",0.576305220883534,0.625779625779626,NA,0.386150234741784
"Mobiluncus_mulieris",0.57429718875502,0.488565488565489,NA,0
"Streptococcus_oralis",0.572289156626506,0.638253638253638,0.644736842105263,0.929577464788732
"Selenomonas_flueggei",0.570281124497992,0.586278586278586,0.491228070175439,0.805164319248826
"Prevotella_oris",0.568273092369478,0.663201663201663,0.62280701754386,0.805164319248826
"Megasphaera_elsdenii",0.566265060240964,0.617463617463617,NA,0.386150234741784
"Butyrivibrio_hungatei",0.56425702811245,0.598752598752599,NA,0
"Prevotella_paludivivens",0.562248995983936,0.58004158004158,NA,0.386150234741784
