"","CoreAssociationScore","HealthAssociationScore","CHC_Score","CHC_Score_RankScaled","mean_score","reward_Score"
"Campylobacter_concisus",0.876957494407159,0.6938110364539,0.6938110364539,0.886454183266932,0.78538426543053,0.883403280397487
"Fusobacterium_periodonticum",0.68903803131991,0.750856691557456,0.689038031319911,0.878486055776892,0.719947361438683,0.95706723605875
"Leptotrichia_goodfellowii",0.68903803131991,0.98540300206269,0.689038031319911,0.878486055776892,0.8372205166913,0.823006624399259
"Granulicatella_adiacens",0.68903803131991,0.767751321392141,0.68903803131991,0.866533864541833,0.728394676356026,0.945967967211119
"Lachnoanaerobaculum_saburreum",0.68903803131991,0.75490418220942,0.68903803131991,0.866533864541833,0.721971106764665,0.954384496642343
"Veillonella_atypica",0.68903803131991,0.818905823797786,0.68903803131991,0.866533864541833,0.753971927558848,0.913877567764126
"Haemophilus_haemolyticus",0.68903803131991,0.779629083102014,0.68903803131991,0.866533864541833,0.734333557210962,0.938317505108868
"Leptotrichia_buccalis",0.876957494407159,0.675383000300487,0.675383000300487,0.856573705179283,0.776170247353823,0.870148015339486
"Corynebacterium_matruchotii",0.825503355704698,0.656316623214434,0.656316623214434,0.852589641434263,0.740909989459566,0.885825042922102
"Campylobacter_gracilis",0.955257270693512,0.638949096106179,0.638949096106179,0.848605577689243,0.797103183399846,0.801588940318743
"Selenomonas_noxia",0.914988814317673,0.602740288775176,0.602740288775176,0.844621513944223,0.758864551546425,0.794265969528954
"Gemella_haemolysans",0.749440715883669,0.594781775124078,0.594781775124078,0.838645418326693,0.672111245503873,0.884945429946165
"Propionibacterium_propionicum",0.749440715883669,0.594781775124078,0.594781775124078,0.838645418326693,0.672111245503873,0.884945429946165
"Prevotella_melaninogenica",0.914988814317673,0.594543467342122,0.594543467342122,0.832669322709163,0.754766140829898,0.787718784905211
"Streptococcus_pneumoniae",0.785234899328859,0.592941624828623,0.592941624828623,0.828685258964143,0.689088262078741,0.860472681743153
"Veillonella_rogosae",0.592841163310962,0.639805270063874,0.592841163310962,0.824701195219124,0.616323216687418,0.961899774759961
"Streptococcus_cristatus",0.592841163310962,0.594781775124078,0.592841163310962,0.798804780876494,0.59381146921752,0.998365969744848
"Planobacterium_taklimakanense",0.592841163310962,0.904319825191693,0.592841163310962,0.798804780876494,0.748580494251327,0.791953795034262
"Actinomyces_gerencseriae",0.592841163310962,0.782572349693948,0.592841163310962,0.798804780876494,0.687706756502455,0.862055167708456
"Leptotrichia_hofstadii",0.592841163310962,0.682861502244514,0.592841163310962,0.798804780876494,0.637851332777738,0.929434701859501
"Actinomyces_viscosus",0.592841163310962,0.782572349693948,0.592841163310962,0.798804780876494,0.687706756502455,0.862055167708456
"Prevotella_intermedia",0.592841163310962,0.647494778772097,0.592841163310962,0.798804780876494,0.620167971041529,0.955936441405263
"Haemophilus_influenzae",0.592841163310962,0.594543467342122,0.592841163310962,0.798804780876494,0.593692315326542,0.998566341531451
"Granulicatella_elegans",0.592841163310962,0.779629083102014,0.592841163310962,0.798804780876494,0.686235123206488,0.8639038476213
"Streptococcus_thermophilus",0.592841163310962,0.6938110364539,0.592841163310962,0.798804780876494,0.643326099882431,0.921525122980872
"Streptococcus_anginosus",0.592841163310962,0.594781775124078,0.592841163310962,0.798804780876494,0.59381146921752,0.998365969744848
"Lachnoanaerobaculum_umeaense",0.592841163310962,0.9106352084519,0.592841163310962,0.798804780876494,0.751738185881431,0.788627176915114
"Kingella_denitrificans",0.592841163310962,0.888981737411927,0.592841163310962,0.798804780876494,0.740911450361444,0.800151169241279
"Selenomonas_artemidis",0.592841163310962,0.767751321392141,0.592841163310962,0.770916334661355,0.680296242351551,0.871445594439435
"Actinomyces_johnsonii",0.592841163310962,0.705935248087052,0.592841163310962,0.770916334661355,0.649388205699007,0.912922590999051
"Solobacterium_moorei",0.68903803131991,0.568649544042572,0.568649544042572,0.764940239043825,0.628843787681241,0.904277906822256
