"","CoreAssociationScore","HealthAssociationScore","CHC_Score","CHC_Score_RankScaled","mean_score","reward_Score"
"Actinomyces_georgiae",0.736334405144695,0.481856314850257,0.481856314850257,0.713395638629283,0.609095359997476,0.791101601647817
"Selenomonas_flueggei",0.591639871382637,0.481347297440385,0.481347297440385,0.707165109034268,0.536493584411511,0.897209792300467
"Streptococcus_anginosus",0.591639871382637,0.476296425672049,0.476296425672049,0.697819314641745,0.533968148527343,0.8919940767734
"Centipeda_periodontii",0.591639871382637,0.476296425672049,0.476296425672049,0.697819314641745,0.533968148527343,0.8919940767734
"Selenomonas_infelix",0.736334405144695,0.476296425672049,0.476296425672049,0.688473520249221,0.606315415408372,0.785558825601109
"Rothia_mucilaginosa",0.591639871382637,0.454421531861824,0.454421531861824,0.679127725856698,0.52303070162223,0.868823819428557
"Stomatobaculum_longum",0.591639871382637,0.454421531861824,0.454421531861824,0.679127725856698,0.52303070162223,0.868823819428557
"Campylobacter_showae",0.382636655948553,0.802612537220494,0.382636655948553,0.660436137071651,0.592624596584523,0.645664486681459
"Leptotrichia_shahii",0.382636655948553,0.759441126642844,0.382636655948553,0.660436137071651,0.571038891295699,0.670071096349222
"Aggregatibacter_aphrophilus",0.382636655948553,0.759441126642844,0.382636655948553,0.660436137071651,0.571038891295699,0.670071096349222
"Kingella_denitrificans",0.382636655948553,0.868769149062793,0.382636655948553,0.660436137071651,0.625702902505673,0.611530894960303
"Prevotella_shahii",0.382636655948553,0.483145216685931,0.382636655948553,0.598130841121495,0.432890936317242,0.883910065670998
"Prevotella_salivae",0.382636655948553,0.476296425672049,0.382636655948553,0.598130841121495,0.429466540810301,0.890958013228711
"Selenomonas_noxia",0.382636655948553,0.782363567259548,0.382636655948553,0.598130841121495,0.582500111604051,0.656886837145616
"Fusobacterium_periodonticum",0.382636655948553,0.885226544737527,0.382636655948553,0.598130841121495,0.63393160034304,0.60359296766638
"Gemella_haemolysans",0.382636655948553,0.629555801898234,0.382636655948553,0.598130841121495,0.506096228923393,0.756055141455069
"Abiotrophia_defectiva",0.382636655948553,0.885226544737527,0.382636655948553,0.598130841121495,0.63393160034304,0.60359296766638
"Leptotrichia_trevisanii",0.382636655948553,0.497122692774849,0.382636655948553,0.598130841121495,0.439879674361701,0.869866643653831
"Actinomyces_johnsonii",0.382636655948553,0.78956497134206,0.382636655948553,0.598130841121495,0.586100813645306,0.652851262172305
"Actinomyces_sp_oral_taxon_170",0.382636655948553,0.664878580761438,0.382636655948553,0.598130841121495,0.523757618354996,0.7305605542318
"Actinomyces_sp_oral_taxon_180",0.382636655948553,0.476296425672049,0.382636655948553,0.598130841121495,0.429466540810301,0.890958013228711
"Aggregatibacter_sp_oral_taxon_458",0.382636655948553,0.664878580761438,0.382636655948553,0.598130841121495,0.523757618354996,0.7305605542318
"Leptotrichia_sp_oral_taxon_212",0.382636655948553,0.664878580761438,0.382636655948553,0.598130841121495,0.523757618354996,0.7305605542318
"Leptotrichia_sp_oral_taxon_225",0.382636655948553,0.664878580761438,0.382636655948553,0.598130841121495,0.523757618354996,0.7305605542318
"Oribacterium_sp_oral_taxon_078",0.382636655948553,0.476296425672049,0.382636655948553,0.598130841121495,0.429466540810301,0.890958013228711
"Selenomonas_sp_oral_taxon_920",0.382636655948553,0.476296425672049,0.382636655948553,0.598130841121495,0.429466540810301,0.890958013228711
"Tannerella_sp_oral_taxon_HOT_286",0.382636655948553,0.664878580761438,0.382636655948553,0.598130841121495,0.523757618354996,0.7305605542318
"Leptotrichia_buccalis",0.382636655948553,0.939056609752132,0.382636655948553,0.538940809968847,0.660846632850342,0.57900976857244
"Actinomyces_viscosus",0.382636655948553,0.864600826710882,0.382636655948553,0.538940809968847,0.623618741329718,0.613574658023702
"Leptotrichia_goodfellowii",0.382636655948553,0.648811388372762,0.382636655948553,0.538940809968847,0.515724022160657,0.741940727029688
"Neisseria_mucosa",0.382636655948553,0.377912246470897,0.377912246470897,0.526479750778816,0.380274451209725,0.993788158180721
"Prevotella_pleuritidis",0.382636655948553,0.37587016844828,0.37587016844828,0.520249221183801,0.379253412198417,0.991079200235735
"Johnsonella_ignava",0.382636655948553,0.334672126423359,0.334672126423359,0.514018691588785,0.358654391185956,0.933132660990723
"Catonella_morbi",0.842443729903537,0.334672126423359,0.334672126423359,0.507788161993769,0.588557928163448,0.56863073354169
"Lachnoanaerobaculum_saburreum",0.736334405144695,0.332491941636148,0.332491941636148,0.501557632398754,0.534413173390421,0.622162697687174
