"","species","ClusterID"
"75","Treponema_lecithinolyticum",3
"76","Neisseria_macacae",2
"77","Streptococcus_intermedius",4
"78","Prevotella_copri",4
"79","Treponema_socranskii",3
"80","Pyramidobacter_piscolens",1
"81","Dialister_pneumosintes",3
"82","Selenomonas_flueggei",3
"83","Peptostreptococcus_stomatis",3
"84","Actinomyces_oricola",1
"85","Leptotrichia_shahii",3
"86","Actinomyces_gerencseriae",1
"87","Capnocytophaga_ochracea",1
"88","Prevotella_ruminicola",1
"89","Gemella_sanguinis",11
"90","Prevotella_intermedia",3
"91","Selenomonas_sputigena",3
"92","Eubacterium_nodatum",3
"93","Prevotella_dentalis",3
"94","Howardella_ureilytica",3
"95","Selenomonas_ruminantium",3
"96","Mycoplasma_salivarium",3
"97","Porphyromonas_uenonis",3
"98","Alloprevotella_tannerae",3
"99","Actinomyces_howellii",13
"100","Actinomyces_georgiae",13
"101","Actinomyces_lingnae",2
"102","Prevotella_maculosa",3
"103","Prevotella_aurantiaca",3
"104","Gardnerella_vaginalis",5
"105","Haemophilus_influenzae",5
"106","Veillonella_parvula",2
"107","Leptotrichia_hongkongensis",1
"108","Capnocytophaga_sputigena",1
"109","Treponema_medium",3
"110","Prevotella_fusca",1
"111","Selenomonas_infelix",3
"112","Propionivibrio_pelophilus",3
"113","Leptotrichia_goodfellowii",1
"114","Neisseria_elongata",1
"115","Oribacterium_sinus",3
"116","Actinobacillus_rossii",7
"117","Solobacterium_moorei",3
"118","Eggerthia_catenaformis",2
"119","Pseudomonas_aeruginosa",6
"120","Granulicatella_elegans",6
"121","Campylobacter_concisus",3
"122","Bacteroides_heparinolyticus",2
"123","Campylobacter_mucosalis",3
"124","Veillonella_rodentium",3
"125","Prevotella_melaninogenica",2
"126","Megasphaera_micronuciformis",2
"127","Cryptobacterium_curtum",3
"128","Sediminibacterium_salmoneum",11
"129","Abiotrophia_defectiva",1
"130","Gemella_morbillorum",1
"131","Haemophilus_sputorum",2
"132","Veillonella_atypica",2
"133","Campylobacter_gracilis",3
"134","Dialister_propionicifaciens",3
"135","Lactobacillus_reuteri",3
"136","Porphyromonas_gulae",9
"137","Campylobacter_rectus",3
"138","Prevotella_nigrescens",3
"139","Bulleidia_extructa",1
"140","Prevotella_dentasini",3
"141","Selenomonas_bovis",3
"142","Corynebacterium_matruchotii",1
"143","Eikenella_corrodens",1
"144","Parvimonas_micra",3
"145","Scardovia_wiggsiae",3
"146","Fusobacterium_nucleatum",3
"147","Haemophilus_haemoglobinophilus",1
"148","Mycoplasma_faucium",3
"149","Campylobacter_curvus",3
"150","Brachymonas_denitrificans",3
"151","Actinomyces_cardiffensis",3
"152","Phocaeicola_abscessus",3
"153","Streptococcus_constellatus",3
"154","Prevotella_saccharolytica",1
"155","Neisseria_subflava",1
"156","Catonella_morbi",1
"157","Actinomyces_massiliensis",1
"158","Streptococcus_cristatus",1
"159","Streptococcus_salivarius",2
"160","Prevotella_buccae",3
"161","Terrahaemophilus_aromaticivorans",3
"162","Streptococcus_mutans",1
"163","Streptococcus_thermophilus",1
"164","Propionibacterium_propionicum",1
"165","Neisseria_oralis",1
"166","Treponema_pectinovorum",3
"167","Neisseria_flavescens",1
"168","Leptotrichia_trevisanii",1
"169","Treponema_putidum",3
"170","Leptotrichia_wadei",3
"171","Streptococcus_mitis",2
"172","Wolinella_succinogenes",2
"173","Prevotella_oris",3
"174","Pseudoramibacter_alactolyticus",3
"175","Mogibacterium_timidum",3
"176","Streptococcus_anginosus",3
"177","Porphyromonas_catoniae",1
"178","Fusobacterium_canifelinum",2
"179","Aggregatibacter_aphrophilus",1
"180","Lachnoanaerobaculum_umeaense",2
"181","Desulfovibrio_fairfieldensis",2
"182","Dialister_micraerophilus",2
"183","Eubacterium_infirmum",3
"184","Neisseria_lactamica",1
"185","Neisseria_dentiae",15
"186","Neisseria_mucosa",15
"187","Haemophilus_pittmaniae",8
"188","Stenotrophomonas_maltophilia",8
"189","Prevotella_micans",3
"190","Corynebacterium_durum",1
"191","Kingella_oralis",1
"192","Cardiobacterium_hominis",1
"193","Fretibacterium_fastidiosum",3
"194","Streptococcus_peroris",2
"195","Olsenella_profusa",3
"196","Selenomonas_artemidis",3
"197","Streptococcus_infantis",2
"198","Prevotella_histicola",2
"199","Aggregatibacter_segnis",1
"200","Kingella_potus",1
"201","Rothia_terrae",2
"202","Streptococcus_suis",1
"203","Ruminofilibacter_xylanolyticum",1
