"","Node1","Node2","Weight"
"12444","Rothia_dentocariosa","Gemella_morbillorum",1
"12561","Abiotrophia_defectiva","Gemella_morbillorum",1
"12778","Haemophilus_parainfluenzae","Haemophilus_sputorum",1
"12886","Veillonella_dispar","Veillonella_atypica",1
"12895","Prevotella_pallens","Veillonella_atypica",1
"12908","Lachnoanaerobaculum_orale","Veillonella_atypica",1
"12914","Prevotella_salivae","Veillonella_atypica",1
"12920","Prevotella_veroralis","Veillonella_atypica",1
"12945","Lachnoanaerobaculum_saburreum","Veillonella_atypica",1
"12977","Alloprevotella_rava","Veillonella_atypica",1
"12979","Atopobium_parvulum","Veillonella_atypica",1
"12989","Selenomonas_flueggei","Veillonella_atypica",1
"13034","Campylobacter_concisus","Veillonella_atypica",1
"13035","Prevotella_melaninogenica","Veillonella_atypica",1
"13036","Megasphaera_micronuciformis","Veillonella_atypica",1
"13267","Rothia_mucilaginosa","Streptococcus_australis",1
"14044","Treponema_denticola","Corynebacterium_matruchotii",1
"14045","Eubacterium_brachy","Corynebacterium_matruchotii",1
"14049","Prevotella_denticola","Corynebacterium_matruchotii",1
"14051","Actinomyces_oris","Corynebacterium_matruchotii",1
"14055","Streptococcus_cristatus","Corynebacterium_matruchotii",1
"14063","Eubacterium_nodatum","Corynebacterium_matruchotii",1
"14067","Olsenella_uli","Corynebacterium_matruchotii",1
"14069","Rothia_dentocariosa","Corynebacterium_matruchotii",1
"14084","Selenomonas_noxia","Corynebacterium_matruchotii",1
"14095","Leptotrichia_hofstadii","Corynebacterium_matruchotii",1
"14098","Streptococcus_sanguinis","Corynebacterium_matruchotii",1
"14100","Campylobacter_showae","Corynebacterium_matruchotii",1
"14111","Actinomyces_viscosus","Corynebacterium_matruchotii",1
"14112","Streptococcus_oralis","Corynebacterium_matruchotii",1
"14115","Prevotella_pleuritidis","Corynebacterium_matruchotii",1
"14118","Parascardovia_denticolens","Corynebacterium_matruchotii",1
"14145","Leptotrichia_shahii","Corynebacterium_matruchotii",1
"14153","Haemophilus_parahaemolyticus","Corynebacterium_matruchotii",1
"14155","Actinomyces_georgiae","Corynebacterium_matruchotii",1
"14160","Prevotella_maculosa","Corynebacterium_matruchotii",1
"14166","Actinomyces_cardiffensis","Corynebacterium_matruchotii",1
"14180","Granulicatella_elegans","Corynebacterium_matruchotii",1
"14186","Abiotrophia_defectiva","Corynebacterium_matruchotii",1
"14191","Campylobacter_gracilis","Corynebacterium_matruchotii",1
"14195","Streptococcus_constellatus","Corynebacterium_matruchotii",1
"14196","Prevotella_nigrescens","Corynebacterium_matruchotii",1
"14210","Capnocytophaga_leadbetteri","Eikenella_corrodens",1
"14254","Haemophilus_parainfluenzae","Eikenella_corrodens",1
"14472","Treponema_socranskii","Parvimonas_micra",1
"14504","Capnocytophaga_sputigena","Parvimonas_micra",1
"14524","Gemella_morbillorum","Parvimonas_micra",1
"14622","Prevotella_pleuritidis","Scardovia_wiggsiae",1
"14719","Prevotella_baroniae","Fusobacterium_nucleatum",1
"14722","Treponema_denticola","Fusobacterium_nucleatum",1
"14723","Eubacterium_brachy","Fusobacterium_nucleatum",1
"14724","Porphyromonas_endodontalis","Fusobacterium_nucleatum",1
