"","Node1","Node2","Weight"
"2573","Porphyromonas_endodontalis","Filifactor_alocis",1
"2624","Porphyromonas_gingivalis","Filifactor_alocis",1
"2892","Neisseria_pharyngis","Rothia_mucilaginosa",1
"2917","Haemophilus_parainfluenzae","Rothia_mucilaginosa",1
"2947","Prevotella_denticola","Lachnoanaerobaculum_saburreum",1
"2963","Prevotella_salivae","Lachnoanaerobaculum_saburreum",1
"2991","Selenomonas_noxia","Lachnoanaerobaculum_saburreum",1
"2996","Pseudomonas_stutzeri","Lachnoanaerobaculum_saburreum",1
"3165","Veillonella_dispar","Streptococcus_gordonii",1
"3191","Lachnoanaerobaculum_orale","Streptococcus_gordonii",1
"3208","Rothia_dentocariosa","Streptococcus_gordonii",1
"3227","Haemophilus_parainfluenzae","Streptococcus_gordonii",1
"3305","Selenomonas_noxia","Leptotrichia_hofstadii",1
"3413","Neisseria_sicca","Streptococcus_sanguinis",1
"3430","Granulicatella_adiacens","Streptococcus_sanguinis",1
"3444","Planobacterium_taklimakanense","Streptococcus_sanguinis",1
"3451","Rothia_dentocariosa","Streptococcus_sanguinis",1
"3464","Lautropia_mirabilis","Streptococcus_sanguinis",1
"3470","Haemophilus_parainfluenzae","Streptococcus_sanguinis",1
"3484","Streptococcus_gordonii","Streptococcus_sanguinis",1
"3487","Veillonella_rogosae","Fusobacterium_periodonticum",1
"3495","Actinomyces_odontolyticus","Fusobacterium_periodonticum",1
"3499","Prevotella_pallens","Fusobacterium_periodonticum",1
"3553","Haemophilus_parainfluenzae","Fusobacterium_periodonticum",1
"3563","Rothia_mucilaginosa","Fusobacterium_periodonticum",1
"3667","Capnocytophaga_leadbetteri","Campylobacter_showae",1
"3749","Leptotrichia_buccalis","Tannerella_forsythia",1
"3753","Capnocytophaga_leadbetteri","Tannerella_forsythia",1
"3756","Treponema_denticola","Tannerella_forsythia",1
"3757","Eubacterium_brachy","Tannerella_forsythia",1
"3758","Porphyromonas_endodontalis","Tannerella_forsythia",1
"3759","Eubacterium_yurii","Tannerella_forsythia",1
"3767","Dialister_invisus","Tannerella_forsythia",1
"3794","Peptococcus_niger","Tannerella_forsythia",1
"3806","Selenomonas_noxia","Tannerella_forsythia",1
"3928","Capnocytophaga_leadbetteri","Capnocytophaga_granulosa",1
"4414","Anaeroglobus_geminatus","Slackia_exigua",1
"4546","Streptococcus_gordonii","Actinomyces_viscosus",1
"4583","Prevotella_scopos","Streptococcus_oralis",1
"4608","Rothia_dentocariosa","Streptococcus_oralis",1
"4637","Rothia_mucilaginosa","Streptococcus_oralis",1
"4641","Streptococcus_gordonii","Streptococcus_oralis",1
"4654","Gemella_haemolysans","Streptococcus_oralis",1
"4968","Eubacterium_yurii","Cardiobacterium_valvarum",1
"5038","Tannerella_forsythia","Cardiobacterium_valvarum",1
"5067","Porphyromonas_endodontalis","Prevotella_pleuritidis",1
"5095","Lactobacillus_johnsonii","Prevotella_pleuritidis",1
"5787","Actinomyces_odontolyticus","Eubacterium_sulci",1
"5791","Prevotella_pallens","Eubacterium_sulci",1
"5891","Veillonella_dispar","Streptococcus_parasanguinis",1
"5934","Rothia_dentocariosa","Streptococcus_parasanguinis",1
"5963","Rothia_mucilaginosa","Streptococcus_parasanguinis",1
"5967","Streptococcus_gordonii","Streptococcus_parasanguinis",1
"6012","Porphyromonas_endodontalis","Prevotella_oralis",1
"6016","Prevotella_denticola","Prevotella_oralis",1
"6032","Prevotella_salivae","Prevotella_oralis",1
"6038","Anaeroglobus_geminatus","Prevotella_oralis",1
"6045","Azospira_oryzae","Prevotella_oralis",1
"6052","Schwartzia_succinivorans","Prevotella_oralis",1
"6114","Actinomyces_odontolyticus","Actinomyces_graevenitzii",1
"6118","Prevotella_pallens","Actinomyces_graevenitzii",1
"6215","Streptococcus_parasanguinis","Actinomyces_graevenitzii",1
"6242","Dialister_invisus","Alloprevotella_rava",1
"6560","Veillonella_dispar","Atopobium_parvulum",1
"6564","Actinomyces_odontolyticus","Atopobium_parvulum",1
"6592","Prevotella_salivae","Atopobium_parvulum",1
"6636","Streptococcus_gordonii","Atopobium_parvulum",1
"6897","Prevotella_oralis","Pasteurella_pneumotropica",1
"6920","Porphyromonas_endodontalis","Treponema_amylovorum",1
"7106","Fusobacterium_periodonticum","Prevotella_nanceiensis",1
"7281","Prevotella_denticola","Shuttleworthia_satelles",1
"7518","Treponema_denticola","Treponema_lecithinolyticum",1
"7605","Prevotella_pleuritidis","Treponema_lecithinolyticum",1
"7707","Streptococcus_gordonii","Neisseria_macacae",1
"7820","Pseudomonas_stutzeri","Streptococcus_intermedius",1
"7824","Prevotella_copri","Streptococcus_intermedius",1
"7886","Prevotella_baroniae","Treponema_socranskii",1
"7890","Treponema_denticola","Treponema_socranskii",1
"7892","Porphyromonas_endodontalis","Treponema_socranskii",1
"7896","Prevotella_denticola","Treponema_socranskii",1
"7901","Dialister_invisus","Treponema_socranskii",1
"7912","Prevotella_salivae","Treponema_socranskii",1
"7917","Neisseria_pharyngis","Treponema_socranskii",1
"7918","Anaeroglobus_geminatus","Treponema_socranskii",1
"7934","Prevotella_marshii","Treponema_socranskii",1
"7986","Prevotella_oralis","Treponema_socranskii",1
"8082","Streptococcus_gordonii","Pyramidobacter_piscolens",1
"8088","Campylobacter_showae","Pyramidobacter_piscolens",1
"8145","Porphyromonas_endodontalis","Dialister_pneumosintes",1
"8149","Prevotella_denticola","Dialister_pneumosintes",1
"8154","Dialister_invisus","Dialister_pneumosintes",1
"8156","Prevotella_enoeca","Dialister_pneumosintes",1
"8187","Prevotella_marshii","Dialister_pneumosintes",1
"8239","Prevotella_oralis","Dialister_pneumosintes",1
"8241","Alloprevotella_rava","Dialister_pneumosintes",1
"8252","Treponema_lecithinolyticum","Dialister_pneumosintes",1
"8255","Treponema_socranskii","Dialister_pneumosintes",1
"8277","Prevotella_denticola","Selenomonas_flueggei",1
"8293","Prevotella_salivae","Selenomonas_flueggei",1
"8300","Olsenella_uli","Selenomonas_flueggei",1
"8351","Slackia_exigua","Selenomonas_flueggei",1
"8411","Dialister_invisus","Peptostreptococcus_stomatis",1
"8431","Prevotella_veroralis","Peptostreptococcus_stomatis",1
