"","GalimanasV_2014","GhensiP_2019","BelstromD_2021","MonteiroM_2021","LenartovaM_2021","MarotzC_2022Su","AndersonA_2013"
"Neisseria_subflava",1,-1,1,-1,NA,-3,NA
"Campylobacter_concisus",3,-1,1,-1,3,3,1
"Prevotella_melaninogenica",3,-1,1,-1,3,-1,1
"Megasphaera_micronuciformis",1,1,1,-1,1,-3,-1
"Cryptobacterium_curtum",-1,NA,1,-1,-1,-3,-1
"Abiotrophia_defectiva",1,1,3,-1,3,3,1
"Gemella_morbillorum",1,-1,3,-1,1,3,1
"Haemophilus_sputorum",1,-1,NA,2,3,3,NA
"Veillonella_atypica",-1,3,1,-1,1,-3,-1
"Campylobacter_gracilis",3,-2,1,2,1,-1,-1
"Streptococcus_australis",NA,3,2,1,NA,1,1
"Campylobacter_rectus",1,-2,-3,-1,-3,-1,1
"Streptococcus_constellatus",-3,NA,NA,-3,-3,-3,-1
"Prevotella_nigrescens",2,1,1,3,3,-3,-1
"Corynebacterium_matruchotii",3,3,3,3,1,3,1
"Eikenella_corrodens",1,2,3,-1,-3,3,1
"Parvimonas_micra",1,-1,-3,-1,-3,-3,-1
"Scardovia_wiggsiae",1,-1,-1,-1,3,-3,1
"Fusobacterium_nucleatum",1,-1,-3,1,-3,-3,-1
"Prevotella_saccharolytica",3,-1,1,-1,1,3,-1
"Catonella_morbi",-1,-1,-1,2,-3,-1,-1
"Morococcus_cerebrosus",-1,1,2,2,NA,3,NA
"Actinomyces_massiliensis",-1,-3,3,3,3,3,-1
"Streptococcus_salivarius",NA,3,-1,1,NA,-1,-1
"Prevotella_buccae",-1,-1,-3,-2,-3,-3,-1
"Pseudoramibacter_alactolyticus",-1,-1,-3,3,-3,-3,1
"Mogibacterium_timidum",NA,-3,-1,-3,-3,-3,1
"Streptococcus_mutans",1,-3,-1,-1,3,-1,-1
"Streptococcus_thermophilus",-1,NA,1,-2,3,-1,-1
"Propionibacterium_propionicum",1,2,1,-1,-1,3,-1
"Neisseria_flavescens",1,-2,3,1,-1,3,1
"Streptococcus_anginosus",-1,NA,NA,-1,1,-1,1
"Leptotrichia_trevisanii",1,NA,NA,1,-3,3,1
"Leptotrichia_wadei",-1,-1,1,-1,3,-1,-1
"Streptococcus_mitis",-1,1,-1,-1,3,3,1
"Prevotella_oris",1,1,-3,-1,-3,-3,-3
"Porphyromonas_catoniae",-2,-2,1,-1,3,3,1
"Aggregatibacter_aphrophilus",1,-1,-1,1,3,3,1
"Lachnoanaerobaculum_umeaense",-1,-1,NA,-1,3,3,NA
"Eubacterium_infirmum",-1,-1,-1,-1,-3,-3,-1
"Neisseria_mucosa",2,1,2,-3,-3,3,1
"Prevotella_micans",1,-1,-1,-1,-3,2,NA
"Kingella_denitrificans",3,1,2,3,1,3,-1
"Corynebacterium_durum",-1,1,3,3,3,3,-1
"Neisseria_bacilliformis",1,3,3,2,3,3,1
"Kingella_oralis",3,1,-1,3,3,3,1
"Cardiobacterium_hominis",2,3,3,1,3,3,1
"Fretibacterium_fastidiosum",-3,-3,-3,-1,-3,-3,-1
"Olsenella_profusa",-1,NA,-1,2,-1,-3,1
"Selenomonas_artemidis",2,-2,1,-1,1,3,-1
"Streptococcus_infantis",-1,3,-1,1,1,3,1
"Prevotella_histicola",1,2,-1,-1,3,2,-1
"Aggregatibacter_segnis",2,-1,2,3,3,3,1
"Prevotella_multiformis",-1,-1,-1,1,-3,-3,1
"Centipeda_periodontii",-1,1,1,-1,1,-1,1
"Actinomyces_naeslundii",1,3,3,-3,1,3,-1
"Capnocytophaga_gingivalis",2,3,3,3,3,3,1
"Prevotella_loescheii",3,-1,1,-1,1,3,1
"Veillonella_tobetsuensis",NA,1,1,-1,1,3,NA
"Prevotella_oulorum",1,3,1,-1,2,-1,1
"Atopobium_rimae",-1,-1,-1,-1,-3,-3,-1
"Treponema_maltophilum",-1,-3,-2,-1,-3,-3,-1
"Treponema_vincentii",-1,-1,-3,-1,-3,-3,-1
"Haemophilus_haemolyticus",1,-1,1,1,3,-3,1
"Johnsonella_ignava",1,-1,-2,1,-3,1,-1
"Stomatobaculum_longum",-1,-1,-1,-1,3,-3,1
"Actinomyces_johnsonii",NA,3,3,-2,NA,-1,-1
"Porphyromonas_somerae",NA,1,3,NA,NA,1,NA
"Streptococcus_milleri",NA,1,-2,NA,NA,NA,NA
"Abiotrophia_sp_HMSC24B09",NA,1,3,NA,NA,NA,NA
"Actinobaculum_sp_oral_taxon_183",NA,3,3,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_170",NA,-1,3,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_180",NA,2,1,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_414",NA,-1,1,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_448",NA,3,3,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_897",NA,-1,1,NA,NA,NA,NA
"Aggregatibacter_sp_oral_taxon_458",NA,1,3,NA,NA,NA,NA
"Bacteroidetes_oral_taxon_274",NA,-1,-3,NA,NA,NA,NA
"Capnocytophaga_sp_oral_taxon_332",NA,-1,2,NA,NA,NA,NA
"Capnocytophaga_sp_oral_taxon_338",NA,-3,1,NA,NA,NA,NA
"Haemophilus_sp_HMSC71H05",NA,-3,-1,NA,NA,NA,NA
"Leptotrichia_sp_oral_taxon_212",NA,-1,3,NA,NA,NA,NA
"Leptotrichia_sp_oral_taxon_215",NA,-1,-2,NA,NA,NA,NA
"Leptotrichia_sp_oral_taxon_225",NA,-1,3,NA,NA,NA,NA
"Leptotrichia_sp_oral_taxon_879",NA,-1,3,NA,NA,NA,NA
"Neisseria_sp_oral_taxon_014",NA,3,3,NA,NA,NA,NA
"Oribacterium_sp_oral_taxon_078",NA,-1,-1,NA,NA,NA,NA
"Ottowia_sp_oral_taxon_894",NA,-1,2,NA,NA,NA,NA
"Parvimonas_sp_oral_taxon_110",NA,-1,2,NA,NA,NA,NA
"Porphyromonas_sp_oral_taxon_278",NA,-1,1,NA,NA,NA,NA
"Prevotella_sp_F0091",NA,-1,1,NA,NA,NA,NA
"Selenomonas_sp_FOBRC6",NA,1,-1,NA,NA,NA,NA
"Selenomonas_sp_oral_taxon_126",NA,1,-2,NA,NA,NA,NA
"Selenomonas_sp_oral_taxon_138",NA,1,1,NA,NA,NA,NA
"Selenomonas_sp_oral_taxon_892",NA,-1,-1,NA,NA,NA,NA
"Selenomonas_sp_oral_taxon_920",NA,1,-1,NA,NA,NA,NA
"Streptococcus_anginosus_group",NA,-1,-3,NA,NA,NA,NA
"Streptococcus_sp_oral_taxon_056",NA,2,1,NA,NA,NA,NA
"Tannerella_sp_oral_taxon_HOT_286",NA,2,3,NA,NA,NA,NA
"Treponema_sp_OMZ_838",NA,-1,-1,NA,NA,NA,NA
