"","ChenC_2018","JesusV_2021","ZhengH_2015","ZhangX_2015","XiaoC_2016","HavsedK_2021","PangL_2021","GalimanasV_2014","JulianM_2017","NajmanovaL_2021","ProctorD_2018","SantosA_2021"
"Simonsiella_muelleri",1,NA,NA,NA,NA,1,NA,NA,NA,1,-3,1
"Actinomyces_oricola",-1,NA,-1,NA,3,NA,NA,NA,-1,NA,1,-1
"Prevotella_aurantiaca",1,NA,NA,NA,-1,1,NA,NA,1,-1,3,1
"Leptotrichia_shahii",-1,NA,-1,NA,-1,-1,NA,NA,2,-1,-3,-1
"Capnocytophaga_ochracea",3,NA,1,3,-1,-1,1,1,2,1,3,-1
"Prevotella_ruminicola",-1,NA,NA,NA,-1,-1,NA,1,-1,NA,1,1
"Gemella_sanguinis",NA,NA,-3,-1,1,3,1,1,NA,NA,3,-1
"Conchiformibius_steedae",-1,NA,NA,NA,NA,1,NA,NA,-1,-1,1,-1
"Prevotella_intermedia",-3,NA,-1,3,-1,3,1,-2,1,-3,3,3
"Porphyromonas_uenonis",-1,NA,NA,-1,NA,-1,NA,NA,1,NA,1,-1
"Prevotella_fusca",-3,NA,-1,1,1,1,-1,NA,2,-3,1,1
"Selenomonas_sputigena",-3,NA,1,-1,1,-1,-3,-2,3,-3,-3,-1
"Veillonella_rodentium",-1,NA,NA,-2,NA,-1,1,-1,1,1,3,-1
"Bulleidia_extructa",-3,NA,-1,2,-1,-3,NA,-1,-1,NA,3,-1
"Haemophilus_parahaemolyticus",2,NA,NA,1,3,1,1,NA,-1,3,3,-1
"Alloprevotella_tannerae",-3,NA,-1,2,1,-1,-1,-1,1,-3,3,-1
"Actinomyces_georgiae",3,NA,-1,1,1,1,3,1,3,1,-3,-1
"Streptococcus_oligofermentans",-1,NA,-1,NA,-1,2,NA,-1,-1,NA,3,-1
"Actinomyces_lingnae",3,NA,-1,NA,-1,-1,NA,1,1,1,-3,-2
"Lactobacillus_salivarius",1,NA,1,-3,-1,-3,-3,-1,-1,NA,-3,1
"Prevotella_maculosa",1,NA,1,1,1,-3,-1,1,2,-1,1,-1
"Haemophilus_influenzae",-1,NA,-1,1,-1,-3,-2,1,-1,3,3,1
"Capnocytophaga_haemolytica",1,NA,1,-1,1,-1,-1,1,3,3,2,1
"Porphyromonas_gulae",-1,NA,NA,NA,1,1,NA,1,3,-3,3,1
"Veillonella_parvula",3,NA,1,-1,1,1,-1,-1,-1,3,3,-1
"Actinomyces_cardiffensis",-3,NA,-1,-3,1,1,-1,-2,-1,-1,1,-1
