"","HealthAssociationScore","species","CoreAssociationScore","quadrant"
"Eubacterium_sulci",0.247866781650205,"Eubacterium_sulci",0.438478747203579,"Q3"
"Streptococcus_parasanguinis",0.554604789930452,"Streptococcus_parasanguinis",0.749440715883669,"Q2"
"Prevotella_oralis",0.364338421010916,"Prevotella_oralis",0.438478747203579,"Q3"
"Actinomyces_graevenitzii",0.350362233059771,"Actinomyces_graevenitzii",0.438478747203579,"Q3"
"Alloprevotella_rava",0.35106850299391,"Alloprevotella_rava",0,"Q3"
"Actinobacillus_porcinus",0.594781775124078,"Actinobacillus_porcinus",0,"Q3"
"Pseudomonas_aeruginosa",0.133837813114605,"Pseudomonas_aeruginosa",0,"Q3"
"Atopobium_parvulum",0.536513752213988,"Atopobium_parvulum",0.825503355704698,"Q2"
"Stenotrophomonas_maltophilia",0.75490418220942,"Stenotrophomonas_maltophilia",0.438478747203579,"Q4"
"Pasteurella_pneumotropica",0.174020783420183,"Pasteurella_pneumotropica",0,"Q3"
"Treponema_amylovorum",0.144317493267707,"Treponema_amylovorum",0,"Q3"
"Prevotella_nanceiensis",0.962215443294381,"Prevotella_nanceiensis",0.438478747203579,"Q4"
"Wolinella_succinogenes",0.448945343997986,"Wolinella_succinogenes",0,"Q3"
"Shuttleworthia_satelles",0.272392201863518,"Shuttleworthia_satelles",0,"Q3"
"Propionivibrio_pelophilus",0.639805270063874,"Propionivibrio_pelophilus",0,"Q3"
"Treponema_lecithinolyticum",0.0139242209221062,"Treponema_lecithinolyticum",0,"Q3"
"Neisseria_macacae",0.675090330199778,"Neisseria_macacae",0,"Q3"
"Streptococcus_intermedius",0.536513752213988,"Streptococcus_intermedius",0.438478747203579,"Q3"
"Treponema_socranskii",0.243407665679749,"Treponema_socranskii",0.914988814317673,"Q2"
"Pyramidobacter_piscolens",0.126107594772437,"Pyramidobacter_piscolens",0,"Q3"
"Dialister_pneumosintes",0.157346495136101,"Dialister_pneumosintes",0.68903803131991,"Q3"
"Selenomonas_flueggei",0.325080257656976,"Selenomonas_flueggei",0.438478747203579,"Q3"
"Peptostreptococcus_stomatis",0.340783630108277,"Peptostreptococcus_stomatis",0.749440715883669,"Q2"
"Lactobacillus_reuteri",0.325080257656976,"Lactobacillus_reuteri",0,"Q3"
"Mycoplasma_salivarium",0.499326582765811,"Mycoplasma_salivarium",0,"Q3"
"Simonsiella_muelleri",0.325080257656976,"Simonsiella_muelleri",0,"Q3"
"Actinomyces_oricola",0.706922507617025,"Actinomyces_oricola",0,"Q4"
"Prevotella_aurantiaca",0.594781775124078,"Prevotella_aurantiaca",0,"Q3"
"Leptotrichia_shahii",0.325080257656976,"Leptotrichia_shahii",0.438478747203579,"Q3"
"Capnocytophaga_ochracea",0.906738800195037,"Capnocytophaga_ochracea",0.876957494407159,"Q1"
"Prevotella_ruminicola",0.448945343997986,"Prevotella_ruminicola",0,"Q3"
"Gemella_sanguinis",0.607094610159019,"Gemella_sanguinis",0.438478747203579,"Q3"
"Conchiformibius_steedae",0.448945343997986,"Conchiformibius_steedae",0,"Q3"
"Prevotella_intermedia",0.647494778772097,"Prevotella_intermedia",0.592841163310962,"Q3"
"Porphyromonas_uenonis",0.448945343997986,"Porphyromonas_uenonis",0,"Q3"
"Prevotella_fusca",0.112510212410342,"Prevotella_fusca",0,"Q3"
"Selenomonas_sputigena",0.0927379623630431,"Selenomonas_sputigena",0.955257270693512,"Q2"
"Veillonella_rodentium",0.594781775124078,"Veillonella_rodentium",0,"Q3"
"Bulleidia_extructa",0.270864249910027,"Bulleidia_extructa",0,"Q3"
