"","Iter_1","Iter_2","Iter_3","Iter_4","Iter_5","Iter_6","Iter_7","Iter_8","Iter_9","Iter_10"
"Prevotella_paludivivens",0.524096385542169,0.80421686746988,0.400602409638554,0.914658634538153,0.569849246231156,0.687437185929648,0.642211055276382,0.910552763819095,0.934673366834171,0.417670682730924
"Streptococcus_gordonii",0.328313253012048,0.464859437751004,0.400602409638554,0.534136546184739,0.0351758793969849,0.493467336683417,0.0422110552763819,0.108542713567839,0.391959798994975,0.417670682730924
"Leptotrichia_hofstadii",0.726907630522088,0.91566265060241,0.894578313253012,0.874497991967871,0.906532663316583,0.844221105527638,0.642211055276382,0.961809045226131,0.895477386934673,0.982931726907631
"Bacteroides_zoogleoformans",0.726907630522088,0.80421686746988,0.858433734939759,0.874497991967871,0.906532663316583,0.687437185929648,0.895477386934673,0.879396984924623,0.895477386934673,0.417670682730924
"Natranaerovirga_hydrolytica",0.524096385542169,0.725903614457831,0.711847389558233,0.534136546184739,0.676381909547739,0.493467336683417,0.418090452261307,0.667336683417085,0.725628140703518,0.733935742971888
"Mogibacterium_neglectum",0.524096385542169,0.464859437751004,0.400602409638554,0.534136546184739,0.334673366834171,0.493467336683417,0.418090452261307,0.341708542713568,0.391959798994975,0.417670682730924
"Campylobacter_mucosalis",0.897590361445783,0.464859437751004,0.930722891566265,0.721887550200803,0.334673366834171,0.660301507537688,0.642211055276382,0.162814070351759,0.810050251256281,0.92570281124498
"Peptoniphilus_lacrimalis",0.524096385542169,0.268072289156627,0.21285140562249,0.721887550200803,0.569849246231156,0.764824120603015,0.418090452261307,0.559798994974874,0.391959798994975,0.0592369477911647
"Streptococcus_sanguinis",0.987951807228916,0.91566265060241,0.894578313253012,0.968875502008032,0.906532663316583,0.973869346733668,0.74070351758794,0.936683417085427,0.895477386934673,0.815261044176707
"Eubacterium_rectale",0.0240963855421687,0.0632530120481928,0.035140562248996,0.0461847389558233,0.334673366834171,0.0562814070351759,0.237185929648241,0.189949748743719,0.391959798994975,0.0983935742971888
"Fusobacterium_periodonticum",0.934738955823293,0.986947791164659,0.986947791164659,0.997991967871486,0.994974874371859,0.986934673366834,0.97286432160804,1,0.997989949748744,0.971887550200803
"Eubacterium_minutum",0.242971887550201,0.464859437751004,0.400602409638554,0.234939759036145,0.334673366834171,0.0934673366834171,0.0422110552763819,0.341708542713568,0.391959798994975,0.225903614457831
"Sporanaerobacter_acetigenes",0.524096385542169,0.725903614457831,0.711847389558233,0.534136546184739,0.676381909547739,0.493467336683417,0.418090452261307,0.667336683417085,0.725628140703518,0.733935742971888
"Desulfomicrobium_orale",0.897590361445783,0.964859437751004,0.930722891566265,0.985943775100402,0.9678391959799,0.938693467336683,0.895477386934673,0.961809045226131,0.971859296482412,0.92570281124498
"Campylobacter_showae",0.842369477911647,0.77710843373494,0.910642570281124,0.889558232931727,0.923618090452261,0.981909547738693,0.85929648241206,0.885427135678392,0.78391959798995,0.944779116465863
"Tannerella_forsythia",0.070281124497992,0.328313253012048,0.400602409638554,0.179718875502008,0.619095477386935,0.493467336683417,0.0824120603015075,0.936683417085427,0.391959798994975,0.573293172690763
"Kingella_potus",0.897590361445783,0.91566265060241,0.930722891566265,0.534136546184739,0.569849246231156,0.844221105527638,0.895477386934673,0.834170854271357,0.971859296482412,0.957831325301205
"Capnocytophaga_granulosa",0.105421686746988,0.464859437751004,0.618473895582329,0.534136546184739,0.334673366834171,0.0934673366834171,0.418090452261307,0.341708542713568,0.190954773869347,0.633534136546185
"Neisseria_oralis",0.987951807228916,0.681726907630522,0.784136546184739,0.947791164658635,0.49748743718593,0.868341708542714,0.806030150753769,0.609045226130653,0.539698492462312,0.573293172690763
"Lactobacillus_ruminis",0.524096385542169,0.464859437751004,0.400602409638554,0.534136546184739,0.334673366834171,0.764824120603015,0.74070351758794,0.341708542713568,0.391959798994975,0.417670682730924
"Helicobacter_pylori",0.150602409638554,0.0923694779116466,0.711847389558233,0.0261044176706827,0.334673366834171,0.493467336683417,0.418090452261307,0.162814070351759,0.229145728643216,0.225903614457831
"Soonwooa_buanensis",0.524096385542169,0.864457831325301,0.858433734939759,0.534136546184739,0.856281407035176,0.764824120603015,0.74070351758794,0.834170854271357,0.856281407035176,0.859437751004016
"Leptotrichia_hongkongensis",0.524096385542169,0.659638554216867,0.569277108433735,0.690763052208835,0.774874371859297,0.493467336683417,0.418090452261307,0.757788944723618,0.631155778894472,0.859437751004016
"Gemella_haemolysans",0.726907630522088,0.626506024096386,0.618473895582329,0.721887550200803,0.334673366834171,0.660301507537688,0.595979899497487,0.491457286432161,0.229145728643216,0.417670682730924
"Gemella_palaticanis",0.524096385542169,0.209839357429719,0.149598393574297,0.802208835341365,0.334673366834171,0.764824120603015,0.418090452261307,0.108542713567839,0.127638190954774,0.417670682730924
"Bacillus_cereus",0.857429718875502,0.464859437751004,0.711847389558233,0.534136546184739,0.514572864321608,0.493467336683417,0.834170854271357,0.559798994974874,0.856281407035176,0.573293172690763
"Slackia_exigua",0.524096385542169,0.116465863453815,0.400602409638554,0.368473895582329,0.174874371859296,0.0562814070351759,0.595979899497487,0.341708542713568,0.0814070351758794,0.281124497991968
"Actinomyces_viscosus",0.0421686746987952,0.0923694779116466,0.0220883534136546,0.0813253012048193,0.0974874371859296,0.204020100502513,0.0422110552763819,0.0402010050251256,0.127638190954774,0.417670682730924
"Streptococcus_oralis",0.683734939759036,0.303212851405622,0.813253012048193,0.534136546184739,0.334673366834171,0.277386934673367,0.834170854271357,0.491457286432161,0.0110552763819095,0.417670682730924
"Desulfovibrio_fairfieldensis",0.180722891566265,0.607429718875502,0.253012048192771,0.385542168674699,0.813065326633166,0.339698492462312,0.0824120603015075,0.505527638190955,0.391959798994975,0.417670682730924
