,HealthAssociationScore,HealthAssociationScore_16s_exposure,HealthAssociationScore_16s,HealthAssociationScore_WGS
Clostridium_leptum,0.291105931262739,0.468601182130335,0.100251682284464,NA
Clostridium_ramosum,0.268212851405623,0.468601182130335,0.0885660566381351,NA
Clostridium_ruminantium,0.374133216282214,0.468601182130335,0.38477911101511,NA
Clostridium_scindens,0.280955177493895,NA,0.294263162081033,NA
Clostridium_symbiosum,0.266910254081653,NA,0.21391557692482,NA
Clostridium_ultunense,0.548086012391274,0.468601182130335,0.574306727958093,NA
Collinsella_aerofaciens,0.719468325563561,0.468601182130335,0.751062924872441,NA
Conchiformibius_steedae,0.432126495933483,0.468601182130335,0.445553280523528,NA
Coprococcus_catus,0.173608403463099,0.468601182130335,0.119062029005261,NA
Coprococcus_comes,0.73865270125729,0.468601182130335,0.689679922641558,NA
Coprococcus_eutactus,0.675369518274101,0.468601182130335,0.511061174224579,NA
Corynebacterium_argentoratense,0.312309236947791,0.246533464791221,0.362591548498802,0.501262811266263
Corynebacterium_durum,0.96565145002119,0.998608137044968,0.811126150682176,0.501262811266263
Corynebacterium_jeikeium,0.459335331274848,0.468601182130335,0.491682359854583,NA
Corynebacterium_kroppenstedtii,0.164343807390365,0.468601182130335,0.113579837864899,0.501262811266263
Corynebacterium_matruchotii,0.639059453895986,0.377872914233428,0.833550089788221,0.501262811266263
Corynebacterium_tuberculostearicum,0.243062501261327,0.468601182130335,0.445553280523528,NA
Cryptobacterium_curtum,0.194174890516841,0.468601182130335,0.21905305117381,0.501262811266263
Desulfobulbus_propionicus,0.368335654174487,0.69977303180252,0.352748976065918,NA
Desulfobulbus_rhabdoformis,0.642707412564832,0.468601182130335,0.701406925752731,NA
Desulfomicrobium_orale,0.944049766906823,0.468601182130335,0.914637081408092,0.501262811266263
Desulfovibrio_fairfieldensis,0.397704082662308,0.427032839854735,0.489159881337957,NA
Dialister_invisus,0.551573328489839,0.69977303180252,0.760238769774402,0.245705303555712
Dialister_micraerophilus,0.327098242215092,0.468601182130335,0.212402580060817,0.662428244658055
Dialister_pneumosintes,0.31713355936308,0.468601182130335,0.783825432618131,0.245705303555712
Dialister_propionicifaciens,0.750691106133075,0.468601182130335,0.638794703438264,NA
Dialister_succinatiphilus,0.581854856612379,0.468601182130335,0.394719775088442,NA
Dolosigranulum_pigrum,0.267687433149684,0.468601182130335,0.248909254684468,NA
Dorea_formicigenerans,0.325623095396662,0.468601182130335,0.215263652346986,NA
Dorea_longicatena,0.428259470040968,0.468601182130335,0.411774318581081,NA
Eggerthia_catenaformis,0.588445742770075,0.468601182130335,0.49053419144343,0.501262811266263
Eikenella_corrodens,0.299139976993401,0.468601182130335,0.313439278704161,0.349831112328979
Elizabethkingia_meningoseptica,0.274720792718613,0.468601182130335,0.445553280523528,NA
Enterococcus_faecalis,0.243062501261327,0.468601182130335,0.445553280523528,0.501262811266263
Enterococcus_faecium,0.432126495933483,0.116284519132874,0.445553280523528,NA
Enterococcus_italicus,0.439027668462796,0.69977303180252,0.297168453372647,NA
Escherichia_coli,0.444386591592501,0.468601182130335,0.457272626120482,0.501262811266263
Eubacterium_biforme,0.451000686161732,NA,0.404984382825499,NA
Eubacterium_brachy,0.691732053843515,0.738249257305579,0.741000380747496,0.21025294966279
Eubacterium_coprostanoligenes,0.437982179976186,0.468601182130335,0.42439919597779,NA
Eubacterium_desmolans,0.448475106455975,0.468601182130335,0.355939788501719,NA
Eubacterium_eligens,0.654773263909911,0.468601182130335,0.568255077594401,NA
Eubacterium_hallii,0.129115456802083,0.468601182130335,0.0603245907857752,NA
Eubacterium_infirmum,0.694845512704083,0.862639153900808,0.414955067167887,0.662428244658055
Eubacterium_minutum,0.277329720893625,0.468601182130335,0.352748976065918,0.501262811266263
Eubacterium_nodatum,0.633081370708967,0.69977303180252,0.733020844465116,0.21025294966279
Eubacterium_ramulus,0.569734011422575,0.468601182130335,0.495108862668187,NA
Eubacterium_rectale,0.147711852434865,0.468601182130335,0.062796564268383,NA
Eubacterium_saphenum,0.0907080583641097,0.69977303180252,0.301109554235561,0.180788261997843
Eubacterium_siraeum,0.703329095275575,0.468601182130335,0.858186890615291,NA
Eubacterium_sulci,0.829147746765958,0.954686518237713,0.643551957736142,0.849943325998509
Eubacterium_ventriosum,0.27535942766039,0.468601182130335,0.273124019788028,NA
Eubacterium_yurii,0.981215918952191,0.468601182130335,0.98314885215636,0.501262811266263
Faecalibacterium_prausnitzii,0.587921838106194,0.468601182130335,0.566716675963949,NA
Filifactor_alocis,0.366305422695808,0.468601182130335,0.647980104958032,0.0271008246730266
Finegoldia_magna,0.112701963633428,0.0188644356330176,0.297168453372647,NA
Flavonifractor_plautii,0.544083974087304,0.468601182130335,0.353780833370227,NA
Fretibacterium_fastidiosum,0.579987588545135,0.468601182130335,0.688065540191408,0.173870990903653
Fusicatenibacter_saccharivorans,0.24577475732074,0.468601182130335,0.129129773204559,NA
Fusobacterium_canifelinum,0.170956388367541,0.468601182130335,0.215092060507263,NA
Fusobacterium_necrophorum,0.143520413311538,0.468601182130335,0.168025587437012,0.501262811266263
Fusobacterium_nucleatum,0.396339024439466,0.468601182130335,0.733176140562129,0.0941022996665098
Fusobacterium_periodonticum,0.983127787532038,0.738249257305579,0.95701255663926,0.90599319759082
Fusobacterium_russii,0.769282355552865,0.468601182130335,0.778227866564668,NA
Gardnerella_vaginalis,0.299569534419083,0.468601182130335,0.443248076561372,0.406450568880278
Gemella_bergeri,0.432126495933483,0.468601182130335,0.445553280523528,0.501262811266263
Gemella_cuniculi,0.513122136788359,0.468601182130335,0.451497460790874,NA
Gemella_haemolysans,0.542300357207725,0.738249257305579,0.537324975766904,0.790632141060653
Gemella_morbillorum,0.452213073399124,0.738249257305579,0.240908978910086,0.82955986216642
Gemella_palaticanis,0.385718249883958,0.69977303180252,0.281704034278284,NA
Gemella_sanguinis,0.541950515630361,0.468601182130335,0.427580223261148,0.662428244658055
Gemmatimonas_aurantiaca,0.609427660390305,0.468601182130335,0.670339895891137,NA
Gemmiger_formicilis,0.599159956408549,0.468601182130335,0.474708801138106,NA
Granulicatella_adiacens,0.0417757462008839,0.0188644356330176,0.0652636024240243,0.662428244658055
Granulicatella_balaenopterae,0.270427438396803,0.468601182130335,0.242780677097746,NA
Granulicatella_elegans,0.385539545115134,0.217712898103995,0.495723566981001,0.349831112328979
Haemophilus_haemoglobinophilus,0.975387176848096,0.976311670721403,0.943626131944381,NA
Haemophilus_haemolyticus,0.691542047587334,0.468601182130335,0.74064057358581,0.349831112328979
Haemophilus_influenzae,0.411153256241045,0.468601182130335,0.436591546199695,0.501262811266263
Haemophilus_parahaemolyticus,0.531754354099816,0.217712898103995,0.646748405354525,0.501262811266263
Haemophilus_parainfluenzae,0.998191257492281,0.707430420192391,0.997514777030434,0.662428244658055
Haemophilus_parasuis,0.618705172448588,0.468601182130335,0.602675140791015,NA
Haemophilus_pittmaniae,0.887581178987306,0.468601182130335,0.986655145520298,0.445712648400719
Haemophilus_quentini,0.457024177110452,NA,0.445553280523528,0.618534694512238
Haemophilus_sputorum,0.979807269278117,0.468601182130335,0.991623564563051,0.501262811266263
Helicobacter_pylori,0.284501826401082,0.468601182130335,0.418373249305539,0.245705303555712
Howardella_ureilytica,0.05607202680067,0.203683728692444,0.134755594790165,NA
Intestinimonas_butyriciproducens,0.31585195051563,0.468601182130335,0.45192789913609,NA
Johnsonella_ignava,0.462497225081229,0.468601182130335,0.483837258958411,0.501262811266263
Kingella_denitrificans,0.87504924219491,0.468601182130335,0.778227866564668,0.662428244658055
Kingella_kingae,0.432126495933483,0.468601182130335,0.445553280523528,0.501262811266263
Kingella_oralis,0.815539545115134,0.899650864015983,0.782354004121545,0.662428244658055
Kingella_potus,0.835152166454764,0.468601182130335,0.792603331059043,NA
Klebsiella_pneumoniae,0.750967689854897,0.468601182130335,0.765569144796133,0.501262811266263
Lachnoanaerobaculum_orale,0.213770156000888,0.468601182130335,0.255035974706141,NA
Lachnoanaerobaculum_saburreum,0.895327844039475,0.895180433945443,0.496997304124431,0.90599319759082
Lachnoanaerobaculum_umeaense,0.947371193315977,0.738249257305579,0.709050535253024,0.82955986216642
Lachnospiraceae_bacterium_oral_taxon_096,0.899729773364816,NA,NA,1
Lactobacillus_amylovorus,0.557924360759621,0.116284519132874,0.607914681723993,NA
Lactobacillus_animata,0.113942200964663,0.116284519132874,0.261963940269718,NA
Lactobacillus_casei,0.164343807390365,0.468601182130335,0.113579837864899,NA
Lactobacillus_crispatus,0.112695102016105,0.116284519132874,0.281704034278284,0.501262811266263
Lactobacillus_delbrueckii,0.386250731569494,0.69977303180252,0.21391557692482,0.501262811266263
Lactobacillus_fermentum,0.00612449799196787,0.00288770053475936,0.0632457244374534,0.501262811266263
Lactobacillus_frumenti,0.219875078202256,0.468601182130335,0.445553280523528,0.245705303555712
Lactobacillus_gasseri,0.157788238380658,0.468601182130335,0.259494518449429,0.501262811266263
Lactobacillus_helveticus,0.237121854251176,0.468601182130335,0.22733392210585,NA
Lactobacillus_iners,0.660267401263345,0.468601182130335,0.538086299503392,NA
Lactobacillus_johnsonii,0.0800320881516014,0.116284519132874,0.319955657845998,0.501262811266263
Lactobacillus_mucosae,0.289682751104922,0.69977303180252,0.164144133794265,0.501262811266263
Lactobacillus_oris,0.149270448628686,0.468601182130335,0.174522803093945,0.501262811266263
Lactobacillus_plantarum,0.201609150168513,0.468601182130335,0.200578525677606,0.501262811266263
Lactobacillus_reuteri,0.133704466105629,0.468601182130335,0.117860036289923,0.501262811266263
Lactobacillus_rhamnosus,0.225892212064338,0.468601182130335,0.302923864921463,0.349831112328979
Lactobacillus_ruminis,0.491523480858106,0.468601182130335,0.456837533000362,NA
Lactobacillus_salivarius,0.0502365239853888,0.468601182130335,0.0108598336401039,0.501262811266263
Lactobacillus_vaginalis,0.242684305059434,0.468601182130335,0.445553280523528,0.501262811266263
Lactococcus_lactis,0.777893079857117,0.83462651293679,0.639702555439319,0.501262811266263
Lautropia_mirabilis,0.427791366470909,0.468601182130335,0.516830312418923,0.290919604925621
Leptotrichia_amnionii,0.621082420132792,0.468601182130335,0.636626632043072,0.501262811266263
Leptotrichia_buccalis,0.742367762507316,0.0188644356330176,0.946440686470004,0.445712648400719
Leptotrichia_goodfellowii,0.693390446206938,0.969077163576917,0.763505669534194,0.290919604925621
Leptotrichia_hofstadii,0.864482956953442,0.954686518237713,0.750986094737602,0.82955986216642
Leptotrichia_hongkongensis,0.637858973582773,0.954686518237713,0.33755724054213,NA
Leptotrichia_shahii,0.442506912070392,0.895180433945443,0.431964868733466,NA
Leptotrichia_sp_oral_taxon_215,0.355597061613287,NA,NA,0.349831112328979
Leptotrichia_trevisanii,0.566865149038364,0.738249257305579,0.772888723406441,NA
Leptotrichia_wadei,0.659015862444754,0.954686518237713,0.197537899725951,0.501262811266263
Mannheimia_granulomatis,0.749585578494884,0.468601182130335,0.723613399054178,NA
Mannheimia_haemolytica,0.432126495933483,0.468601182130335,0.445553280523528,NA
Megamonas_funiformis,0.636316320558616,0.468601182130335,0.524746626394972,NA
Megasphaera_elsdenii,0.350813000746705,0.468601182130335,0.385449115171094,NA
Megasphaera_micronuciformis,0.351840225222498,0.468601182130335,0.628285381631838,0.245705303555712
Methylobacterium_jeotgali,0.670808459970535,0.468601182130335,0.668755051710272,NA
Micrococcus_luteus,0.432126495933483,0.468601182130335,0.445553280523528,0.501262811266263
Mobiluncus_curtisii,0.455813505277391,0.468601182130335,0.363574783179741,NA
Mobiluncus_mulieris,0.728544227159896,0.862639153900808,0.51584095561989,NA
Mogibacterium_diversum,0.523223446550019,0.468601182130335,0.445553280523528,0.662428244658055
Mogibacterium_neglectum,0.432126495933483,0.468601182130335,0.445553280523528,NA
Mogibacterium_timidum,0.447279772355755,0.468601182130335,0.491526981668729,0.501262811266263
Moraxella_boevrei,0.305510786866057,0.468601182130335,0.414430027466505,NA
Moraxella_bovoculi,0.621082420132792,NA,0.636626632043072,NA
Moraxella_lacunata,0.7443349276503,0.468601182130335,0.870376973259919,NA
Moraxella_osloensis,0.614823716978467,0.468601182130335,0.69843447259962,NA
Morococcus_cerebrosus,0.773745030372747,0.468601182130335,0.627178974475822,0.662428244658055
Moryella_indoligenes,0.855840043591451,0.899650864015983,0.547446265447906,NA
Murdochiella_asaccharolytica,0.443782365643478,0.468601182130335,0.483208453085286,NA
Mycoplasma_faucium,0.488877015600089,0.468601182130335,0.558847777520049,NA
Mycoplasma_feliminutum,0.432126495933483,0.468601182130335,0.445553280523528,NA
Mycoplasma_hyosynoviae,0.432126495933483,0.468601182130335,0.445553280523528,NA
Mycoplasma_orale,0.69674688704567,0.468601182130335,0.82196161650632,NA
Mycoplasma_salivarium,0.733419809892838,0.468601182130335,0.737928778637283,NA
Mycoplasma_spermatophilum,0.73460878690642,0.468601182130335,0.703331622590779,NA
Natranaerovirga_hydrolytica,0.621082420132792,NA,0.636626632043072,NA
Necropsobacter_rosorum,0.432126495933483,0.468601182130335,0.445553280523528,NA
Neisseria_bacilliformis,0.445345300801195,0.468601182130335,0.263762732905367,0.501262811266263
Neisseria_canis,0.589109806058404,0.69977303180252,0.772936909971996,0.501262811266263
Neisseria_cinerea,0.589656414603136,0.468601182130335,0.445553280523528,0.551777099205868
Neisseria_dentiae,0.684093459264192,0.738249257305579,0.51378364269884,NA
Neisseria_elongata,0.915321486952836,0.468601182130335,0.931740551019495,0.501262811266263
Neisseria_flavescens,0.945751448003068,0.738249257305579,0.885563618417155,0.662428244658055
Neisseria_lactamica,0.432126495933483,0.468601182130335,0.445553280523528,0.501262811266263
Neisseria_macacae,0.621082420132792,0.468601182130335,0.636626632043072,0.501262811266263
Neisseria_meningitidis,0.917543238279752,0.468601182130335,0.898370109474257,NA
Neisseria_mucosa,0.888998809307582,0.954686518237713,0.692304636867824,0.501262811266263
Neisseria_oralis,0.729550261346895,0.391722823703595,0.559729014304408,NA
Neisseria_perflava,0.801078484793445,NA,0.445553280523528,0.948074558453587
Neisseria_pharyngis,0.717707917095518,0.468601182130335,0.758843714338455,NA
Neisseria_shayeganii,0.751955056406531,0.468601182130335,0.49393071291978,NA
Neisseria_sicca,0.811615103630603,0.468601182130335,0.877418427477348,0.662428244658055
Neisseria_sp_oral_taxon_014,0.355597061613287,NA,NA,0.349831112328979
