"","LeeW_2017","YuF_2020","WangT_2018","TongY_2019","ArmstrongA_2023a","LundmarkA_2019","MakinenA_2023","BelstromD_2021","WangX_2020","JulianM_2017","ZhuC_2018","MoskovitzM_2021","GuptaA_2022","BelstromD_2017","ArmstrongA_2023b","ZiganshinaE_2020","FanX_2018b","WangB_2020","HuangC_2022","WangQ_2019","ZhengX_2017","WangK_2016","RussoE_2018","ZellerG_2014B","LindheimL_2016","AbdelbaryM_2022","NagataN_2022","LinM_2020","TianN_2017","JiangQ_2019","LiuY_2019","WolfA_2017","LeeY_2025","RiveraV_2025","TakahashiY_2019","RafiqulI_2022","KumpitschC_2020","DebeliusJ_2020"
"Parasutterella_excrementihominis",-3,-3,-2,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-3,-1,0,0,0,1,0,0,0,1,3,1,-1,0
"Lactobacillus_gasseri",1,-3,-1,-3,1,-1,-2,1,1,-1,-1,0,0,-2,-2,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,-3
"Clostridium_bartlettii",-3,-1,-3,-2,-1,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,1,0,2,0,-2,2,0,-1,0,0,0,0,-1,2,1,2,-1,0
"Streptococcus_agalactiae",-2,-1,3,1,1,1,1,0,1,-1,-1,0,0,0,0,0,-1,-1,-1,0,2,-1,1,0,-1,0,-3,-3,0,-1,0,0,1,-1,1,-3,-1,-2
"Lactobacillus_oris",0,0,-1,-3,0,1,0,-1,-1,0,0,0,0,-1,-1,0,1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,1,0,-3,0,-1,-1,0,-1
"Eubacterium_rectale",-3,-3,-3,-3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-3,-1,0,-1,0,0,0,-2,1,1,3,3,1,0
"Anaerostipes_hadrus",-3,-3,-3,-3,-1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,0,-3,1,0,-1,0,0,0,-2,-1,2,3,3,-1,-1
"Bacteroides_fragilis",-3,-3,-3,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-3,0,-3,-1,0,-1,0,0,0,-1,-1,-1,3,3,-1,1
"Fusobacterium_necrophorum",-3,0,-1,1,-3,2,-1,-1,-1,1,-2,0,0,0,1,1,1,0,0,1,2,0,-1,0,1,-1,0,-1,-1,0,1,-1,-1,-1,1,0,1,-1
"Actinomyces_timonensis",-1,-1,1,1,-1,1,-1,0,-1,3,1,-1,0,0,0,1,-1,-1,-1,-1,1,-3,3,0,2,1,0,-1,-1,-1,-2,-3,-3,1,1,-1,-3,-3
"Prevotella_intermedia",-3,1,-1,-1,1,-2,-1,-3,-1,-1,-1,1,0,-3,-3,1,-1,1,-3,2,1,-1,1,-3,-1,1,-3,-1,3,3,1,1,-3,-1,1,3,1,3
"Alistipes_finegoldii",-3,-3,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-3,1,0,-1,0,0,0,0,-1,3,1,1,-1,0
"Prevotella_multisaccharivorax",-1,2,-1,-3,-1,-1,1,0,-1,3,0,0,0,0,-1,-1,1,1,-1,1,0,-1,-1,1,1,-1,-1,-3,-1,-3,-3,-3,-2,1,1,3,-1,-1
