"","HealthAssociationScore","species","CoreAssociationScore","quadrant"
"Abiotrophia_defectiva",0.885226544737527,"Abiotrophia_defectiva",0.382636655948553,"Q4"
"Gemella_morbillorum",0.802612537220494,"Gemella_morbillorum",0.736334405144695,"Q1"
"Haemophilus_sputorum",0.759441126642844,"Haemophilus_sputorum",0,"Q4"
"Veillonella_atypica",0.481347297440385,"Veillonella_atypica",0,"Q3"
"Campylobacter_gracilis",0.6382285138605,"Campylobacter_gracilis",0.922829581993569,"Q2"
"Streptococcus_australis",0.648945891163032,"Streptococcus_australis",0,"Q3"
"Campylobacter_rectus",0.183914853336907,"Campylobacter_rectus",0,"Q3"
"Streptococcus_constellatus",0.039692195665784,"Streptococcus_constellatus",0,"Q3"
"Prevotella_nigrescens",0.583512986332033,"Prevotella_nigrescens",0.736334405144695,"Q2"
"Corynebacterium_matruchotii",0.978272411312289,"Corynebacterium_matruchotii",0.842443729903537,"Q1"
"Eikenella_corrodens",0.634898515382851,"Eikenella_corrodens",0.736334405144695,"Q2"
"Parvimonas_micra",0.0807664983044597,"Parvimonas_micra",0.922829581993569,"Q2"
"Scardovia_wiggsiae",0.454421531861824,"Scardovia_wiggsiae",0,"Q3"
"Fusobacterium_nucleatum",0.0807664983044597,"Fusobacterium_nucleatum",0.990353697749196,"Q2"
"Prevotella_saccharolytica",0.772232139337461,"Prevotella_saccharolytica",0.842443729903537,"Q1"
"Catonella_morbi",0.334672126423359,"Catonella_morbi",0.842443729903537,"Q2"
"Morococcus_cerebrosus",0.648811388372762,"Morococcus_cerebrosus",0,"Q3"
"Actinomyces_massiliensis",0.820021046865452,"Actinomyces_massiliensis",0.922829581993569,"Q1"
"Streptococcus_salivarius",0.648945891163032,"Streptococcus_salivarius",0,"Q3"
"Prevotella_buccae",0.0807664983044597,"Prevotella_buccae",0,"Q3"
"Pseudoramibacter_alactolyticus",0.244955634488779,"Pseudoramibacter_alactolyticus",0,"Q3"
"Mogibacterium_timidum",0.0428388865433898,"Mogibacterium_timidum",0.382636655948553,"Q3"
"Streptococcus_mutans",0.45841074041176,"Streptococcus_mutans",0,"Q3"
"Streptococcus_thermophilus",0.629555801898234,"Streptococcus_thermophilus",0.591639871382637,"Q3"
"Propionibacterium_propionicum",0.648811388372762,"Propionibacterium_propionicum",0.842443729903537,"Q2"
"Neisseria_flavescens",0.802612537220494,"Neisseria_flavescens",0,"Q4"
"Streptococcus_anginosus",0.476296425672049,"Streptococcus_anginosus",0.591639871382637,"Q3"
"Leptotrichia_trevisanii",0.497122692774849,"Leptotrichia_trevisanii",0.382636655948553,"Q3"
"Leptotrichia_wadei",0.629555801898234,"Leptotrichia_wadei",0.842443729903537,"Q2"
"Streptococcus_mitis",0.759441126642844,"Streptococcus_mitis",0.922829581993569,"Q1"
"Prevotella_oris",0.0361475603398735,"Prevotella_oris",0.842443729903537,"Q2"
"Porphyromonas_catoniae",0.759441126642844,"Porphyromonas_catoniae",0.922829581993569,"Q1"
"Aggregatibacter_aphrophilus",0.759441126642844,"Aggregatibacter_aphrophilus",0.382636655948553,"Q4"
"Lachnoanaerobaculum_umeaense",0.759441126642844,"Lachnoanaerobaculum_umeaense",0.591639871382637,"Q4"
"Eubacterium_infirmum",0.199827954671379,"Eubacterium_infirmum",0.591639871382637,"Q3"
"Neisseria_mucosa",0.377912246470897,"Neisseria_mucosa",0.382636655948553,"Q3"
"Prevotella_micans",0.334672126423359,"Prevotella_micans",0,"Q3"
"Kingella_denitrificans",0.868769149062793,"Kingella_denitrificans",0.382636655948553,"Q4"
"Corynebacterium_durum",0.943875335988407,"Corynebacterium_durum",0.922829581993569,"Q1"
"Neisseria_bacilliformis",0.946910581707563,"Neisseria_bacilliformis",0,"Q4"
"Kingella_oralis",0.934048227330488,"Kingella_oralis",0.967845659163987,"Q1"
"Cardiobacterium_hominis",0.946910581707563,"Cardiobacterium_hominis",0.842443729903537,"Q1"
"Fretibacterium_fastidiosum",0.00412639578060753,"Fretibacterium_fastidiosum",0.736334405144695,"Q2"
"Olsenella_profusa",0.311226551984862,"Olsenella_profusa",0.382636655948553,"Q3"
"Selenomonas_artemidis",0.648811388372762,"Selenomonas_artemidis",0.591639871382637,"Q3"
"Streptococcus_infantis",0.782363567259548,"Streptococcus_infantis",0,"Q4"
"Prevotella_histicola",0.629555801898234,"Prevotella_histicola",0,"Q3"
"Aggregatibacter_segnis",0.864600826710882,"Aggregatibacter_segnis",0.591639871382637,"Q4"
"Prevotella_multiformis",0.199827954671379,"Prevotella_multiformis",0,"Q3"
"Centipeda_periodontii",0.476296425672049,"Centipeda_periodontii",0.591639871382637,"Q3"
"Actinomyces_naeslundii",0.726653500487691,"Actinomyces_naeslundii",0.842443729903537,"Q1"
"Capnocytophaga_gingivalis",0.981407015668314,"Capnocytophaga_gingivalis",0.967845659163987,"Q1"
"Prevotella_loescheii",0.772232139337461,"Prevotella_loescheii",0.736334405144695,"Q1"
"Veillonella_tobetsuensis",0.648811388372762,"Veillonella_tobetsuensis",0,"Q3"
"Prevotella_oulorum",0.648945891163032,"Prevotella_oulorum",0.591639871382637,"Q3"
"Atopobium_rimae",0.199827954671379,"Atopobium_rimae",0.736334405144695,"Q2"
"Treponema_maltophilum",0.0896215041597441,"Treponema_maltophilum",0.382636655948553,"Q3"
"Treponema_vincentii",0.0807664983044597,"Treponema_vincentii",0.382636655948553,"Q3"
"Haemophilus_haemolyticus",0.454421531861824,"Haemophilus_haemolyticus",0,"Q3"
"Johnsonella_ignava",0.334672126423359,"Johnsonella_ignava",0.382636655948553,"Q3"
"Stomatobaculum_longum",0.454421531861824,"Stomatobaculum_longum",0.591639871382637,"Q3"
"Actinomyces_johnsonii",0.78956497134206,"Actinomyces_johnsonii",0.382636655948553,"Q4"
"Porphyromonas_somerae",0.664878580761438,"Porphyromonas_somerae",0,"Q3"
"Streptococcus_milleri",0.476296425672049,"Streptococcus_milleri",0,"Q3"
"Abiotrophia_sp_HMSC24B09",0.664878580761438,"Abiotrophia_sp_HMSC24B09",0,"Q3"
