"","JulianM_2017","StehlikovaZ_2019"
"Prevotella_oralis",-1,NA
"Actinomyces_graevenitzii",-1,NA
"Alloprevotella_rava",1,NA
"Atopobium_parvulum",1,NA
"Treponema_amylovorum",1,NA
"Prevotella_nanceiensis",-1,NA
"Shuttleworthia_satelles",1,NA
"Treponema_lecithinolyticum",-1,NA
"Streptococcus_intermedius",-1,NA
"Treponema_socranskii",-1,NA
"Dialister_pneumosintes",1,NA
"Selenomonas_flueggei",1,NA
"Peptostreptococcus_stomatis",-1,NA
"Simonsiella_muelleri",-1,NA
"Prevotella_aurantiaca",1,NA
"Leptotrichia_shahii",1,NA
"Capnocytophaga_ochracea",1,NA
"Gemella_sanguinis",1,NA
"Prevotella_intermedia",-1,NA
"Selenomonas_sputigena",1,NA
"Veillonella_rodentium",1,NA
"Bulleidia_extructa",-1,NA
"Haemophilus_parahaemolyticus",1,NA
"Alloprevotella_tannerae",1,NA
"Actinomyces_georgiae",3,NA
"Streptococcus_oligofermentans",3,NA
"Actinomyces_lingnae",-1,NA
"Prevotella_maculosa",2,NA
"Haemophilus_influenzae",3,NA
"Veillonella_parvula",1,NA
"Capnocytophaga_sputigena",-3,NA
"Propionibacterium_acnes",1,NA
"Treponema_medium",1,NA
"Selenomonas_infelix",-1,NA
"Leptotrichia_goodfellowii",-2,NA
"Lactobacillus_fermentum",-1,NA
"Neisseria_elongata",-3,NA
"Oribacterium_sinus",3,NA
"Solobacterium_moorei",1,NA
"Granulicatella_elegans",1,NA
"Neisseria_subflava",NA,NA
"Campylobacter_concisus",-1,NA
"Prevotella_melaninogenica",1,NA
"Megasphaera_micronuciformis",1,NA
"Cryptobacterium_curtum",-1,NA
"Abiotrophia_defectiva",-1,NA
"Gemella_morbillorum",2,NA
"Lactococcus_lactis",1,NA
"Haemophilus_sputorum",NA,NA
"Veillonella_atypica",-1,NA
"Campylobacter_gracilis",-1,NA
"Streptococcus_australis",-1,NA
"Campylobacter_rectus",-1,NA
"Prevotella_nigrescens",1,NA
"Corynebacterium_matruchotii",-1,NA
"Eikenella_corrodens",-3,NA
"Parvimonas_micra",-1,NA
"Scardovia_wiggsiae",-1,NA
"Fusobacterium_nucleatum",3,NA
"Prevotella_saccharolytica",-1,NA
"Catonella_morbi",-1,NA
"Actinomyces_massiliensis",3,NA
"Streptococcus_salivarius",1,NA
"Prevotella_buccae",-1,NA
"Neisseria_meningitidis",-1,NA
"Staphylococcus_epidermidis",-1,NA
"Mogibacterium_timidum",-1,NA
"Streptococcus_mutans",-1,NA
"Streptococcus_thermophilus",2,NA
"Neisseria_flavescens",-3,NA
"Streptococcus_anginosus",3,NA
"Leptotrichia_trevisanii",1,NA
"Leptotrichia_wadei",1,NA
"Streptococcus_mitis",1,NA
"Prevotella_oris",2,NA
"Porphyromonas_catoniae",-1,NA
"Aggregatibacter_aphrophilus",-1,NA
"Lachnoanaerobaculum_umeaense",1,NA
"Eubacterium_infirmum",-1,NA
"Neisseria_mucosa",1,NA
"Prevotella_micans",2,NA
"Kingella_denitrificans",-1,NA
"Corynebacterium_durum",3,NA
"Neisseria_bacilliformis",-1,NA
"Kingella_oralis",-1,NA
"Cardiobacterium_hominis",-1,NA
"Fretibacterium_fastidiosum",1,NA
"Streptococcus_peroris",1,NA
"Selenomonas_artemidis",-1,NA
"Streptococcus_infantis",-1,NA
"Prevotella_histicola",1,NA
"Aggregatibacter_segnis",1,NA
"Centipeda_periodontii",1,NA
"Actinomyces_israelii",-1,NA
"Actinomyces_naeslundii",-2,NA
"Capnocytophaga_gingivalis",-3,NA
"Prevotella_loescheii",1,NA
"Veillonella_tobetsuensis",-1,NA
"Prevotella_oulorum",3,NA
"Atopobium_rimae",-1,NA
"Selenomonas_dianae",1,NA
"Treponema_maltophilum",1,NA
"Treponema_vincentii",-1,NA
"Haemophilus_haemolyticus",-3,NA
"Johnsonella_ignava",-1,NA
"Stomatobaculum_longum",-1,NA
