"","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score"
"Mogibacterium_diversum",1,0,0.039999600004,0,0,0,1,0,0.039999600004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.039999600004,0,0,0,0,0,0
"Actinomyces_meyeri",2,0,0.079999600002,1,1,0,2,1,0.0199999000005,1,0,0.039999600004,2,1,0.0199999000005,0,0,0,2,0,0.079999600002,2,1,0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005
"Bergeyella_zoohelcum",1,1,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,2,1,0.0199999000005,1,1,0,1,1,0,2,1,0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005
"Actinomyces_bowdenii",0,0,0,0,0,0,0,0,0,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,0,0,0,0,0,0,0,0,0,1,-0.039999600004
"Prevotella_salivae",3,2,0.013333288889037,3,1,0.0533331555561481,3,1,0.0533331555561481,2,2,0,3,1,0.0533331555561481,3,2,0.013333288889037,1,1,0,1,2,-0.0199999000005,3,1,0.0533331555561481,2,1,0.0199999000005
"Actinobaculum_massiliense",0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,1,0,0.039999600004,1,1,0,1,1,0,0,1,-0.039999600004,0,0,0,0,0,0,1,1,0
"Mannheimia_granulomatis",0,0,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,2,0,0.079999600002,2,0,0.079999600002,2,0,0.079999600002
"Eubacterium_nodatum",1,3,-0.0533331555561481,5,2,0.071999856000288,3,2,0.013333288889037,3,1,0.0533331555561481,5,2,0.071999856000288,4,2,0.03999990000025,2,3,-0.013333288889037,4,2,0.03999990000025,4,1,0.0899997750005625,2,2,0
"Planobacterium_taklimakanense",0,0,0,1,0,0.039999600004,0,0,0,0,0,0,1,0,0.039999600004,1,0,0.039999600004,0,0,0,1,0,0.039999600004,0,0,0,0,0,0
"Ornatilinea_apprima",1,1,0,1,1,0,2,1,0.0199999000005,1,0,0.039999600004,1,1,0,1,1,0,1,1,0,2,0,0.079999600002,1,0,0.039999600004,1,1,0
"Neisseria_pharyngis",2,0,0.079999600002,2,1,0.0199999000005,3,1,0.0533331555561481,1,0,0.039999600004,2,1,0.0199999000005,2,0,0.079999600002,3,0,0.119999600001333,2,1,0.0199999000005,1,1,0,2,1,0.0199999000005
"Anaeroglobus_geminatus",3,2,0.013333288889037,3,3,0,3,2,0.013333288889037,1,1,0,3,2,0.013333288889037,2,2,0,2,1,0.0199999000005,2,1,0.0199999000005,4,2,0.03999990000025,2,3,-0.013333288889037
