,Axis1,Axis2,Axis3,CS,HS,SS,sHACK,cluster,cx,cy,cluster_factor,High_sHACK,Module2
Atopobium_parvulum,0.974708913729663,9.78135975715426,-25.6043590734351,0.997260273972603,0.453583984177918,0.92838633048324,0.879518072289157,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Capnocytophaga_sputigena,12.5874535827136,-20.1694578414198,7.7151408117557,0.901369863013699,0.464688200036326,0.918607129825082,0.877510040160643,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Kingella_oralis,8.64351041241112,1.17678083957791,-4.4612303787758,0.821917808219178,0.815539545115134,0.500169606218866,0.875502008032129,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_maculosa,21.6672123698111,4.63992658018078,4.25904123948734,0.76986301369863,0.520026740126334,0.871203410901681,0.873493975903614,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Selenomonas_dianae,16.7640935312024,4.79400946137596,4.06395084357112,0.683561643835616,0.559026558495288,0.763313160355225,0.8714859437751,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Solobacterium_moorei,4.60313202556577,-3.18377408500816,-17.0218566950974,0.932876712328767,0.429113539585478,0.976038406352647,0.869477911646586,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Prevotella_micans,16.9540498030243,-1.36326166979071,5.46887198758949,0.591780821917808,0.592866037012371,0.906307685163048,0.867469879518072,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Rothia_aeria,10.7955860410951,-12.7337054894688,4.80400004833459,0.901369863013699,0.902957861597142,0.435359310217974,0.865461847389558,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Capnocytophaga_haemolytica,4.9098820995216,-4.95550987172536,-0.233794939742679,0.505479452054794,0.974584468527376,0.752512447938277,0.863453815261044,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Neisseria_mucosa,6.8358123576766,-11.9433402425741,1.86987145301659,0.706849315068493,0.888998809307582,0.521513889582708,0.86144578313253,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Lachnospiraceae_bacterium_oral_taxon_096,-5.41645057283524,-4.25401809142299,-9.98644414487496,0.423287671232877,0.899729773364816,0.986669053115397,0.859437751004016,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Haemophilus_haemolyticus,10.330842791728,-14.9908384459341,5.51748535849631,0.698630136986301,0.691542047587334,0.520523489462774,0.857429718875502,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Veillonella_parvula,4.71405145898388,1.09751232108556,-8.70421726056858,0.878082191780822,0.454220298278541,0.822558704688098,0.855421686746988,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Kingella_denitrificans,8.24027828337725,-9.84252166548839,3.05738573789179,0.621917808219178,0.87504924219491,0.552333117464321,0.853413654618474,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Planobacterium_taklimakanense,2.20143791246483,-13.5340053034382,0.101473034791763,0.621917808219178,0.552100260337834,0.76590995426541,0.85140562248996,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Dialister_invisus,21.1115011950042,10.0217275953822,2.17876494526104,0.857534246575342,0.551573328489839,0.621260745653002,0.849397590361446,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_nigrescens,19.6648965673427,5.5627319505517,3.60382474547433,0.83013698630137,0.716249419789712,0.501158795453471,0.847389558232932,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Capnocytophaga_ochracea,21.9471463087802,-1.08789841753717,7.27688724861502,0.887671232876712,0.534028677524167,0.645360891296053,0.845381526104418,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Tannerella_forsythia,22.6783030208338,1.41725502381132,8.1736722549749,0.947945205479452,0.407582692579363,0.877870211338813,0.843373493975904,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Treponema_amylovorum,17.4626980437441,2.73270129201021,8.02529907407002,0.683561643835616,0.709223930899477,0.490663080644954,0.84136546184739,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Aggregatibacter_aphrophilus,14.7954791277924,-13.2456153868415,7.62777834232961,0.79041095890411,0.634293051603399,0.512867543613523,0.839357429718876,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Anaeroglobus_geminatus,18.383659332736,10.7807190413528,1.69128625378573,0.706849315068493,0.551405017053137,0.556476727766052,0.837349397590361,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
