"","tax_id","lineage","species","subsite"
"...101",61592,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium durum","Corynebacterium durum","tongue"
"...102",172042,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia aeria","Rothia aeria","tongue"
"...103",536441,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium group;Chryseobacterium;Planobacterium taklimakanense","Planobacterium taklimakanense","tongue"
"...104",28133,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nigrescens","Prevotella nigrescens","tongue"
"...105",114527,"Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;Mogibacterium diversum","Mogibacterium diversum","tongue"
"...106",47671,"Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis","Lautropia mirabilis","tongue"
"...107",2047,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia dentocariosa","Rothia dentocariosa","tongue"
"...108",1177574,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella jejuni","Prevotella jejuni","tongue"
"...109",43675,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia mucilaginosa","Rothia mucilaginosa","tongue"
"...110",202,"Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter mucosalis","Campylobacter mucosalis","tongue"
"...111",28135,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Prevotella oris","Prevotella oris","tongue"
"...112",936548,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp ICM47","Actinomyces sp ICM47","tongue"
"...113",1759399,"Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp A12","Streptococcus sp A12","tongue"
