"","Axis1","Axis2","Axis3","HAC","cluster","cx","cy","cluster_factor","High_HAC","Module5"
"Veillonella_parvula",-0.664755070412594,3.41537180820816,-2.83768151294026,0.845971563981043,2,-3.0129801878269,5.7733826650414,"2",FALSE,FALSE
"Capnocytophaga_sputigena",7.32112523312197,6.65566291012069,5.05534182832863,0.845971563981043,4,7.99220075819873,5.61041765530933,"4",FALSE,FALSE
"Haemophilus_sputorum",-0.715182960925374,9.88209883606735,0.218038473885405,0.845971563981043,2,-3.0129801878269,5.7733826650414,"2",FALSE,FALSE
"Porphyromonas_somerae",-3.89905098789459,7.90513837171506,2.68167363065837,0.845971563981043,2,-3.0129801878269,5.7733826650414,"2",FALSE,FALSE
"Veillonella_sp_T11011_6",-10.3968709413075,-0.565387554246814,-0.50074960570732,0.845971563981043,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Capnocytophaga_granulosa",1.99434057997445,4.33405551247078,5.58058991450135,0.845971563981043,2,-3.0129801878269,5.7733826650414,"2",FALSE,FALSE
"Leptotrichia_shahii",-0.593633876399093,0.843456166872236,2.80396252790142,0.845971563981043,1,1.36341191803437,-2.35018635145671,"1",FALSE,FALSE
"Selenomonas_sputigena",-2.73542378122199,-11.8251642650838,3.01554695908263,0.845971563981043,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Alloprevotella_tannerae",4.31796154589233,-3.77340972607429,5.6182872391803,0.845971563981043,1,1.36341191803437,-2.35018635145671,"1",FALSE,FALSE
"Actinomyces_lingnae",-9.49440477119644,-0.175861164019865,-1.29266279433596,0.845971563981043,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Streptococcus_australis",-2.62894681531836,8.76572632630539,0.0281516138728612,0.845971563981043,2,-3.0129801878269,5.7733826650414,"2",FALSE,FALSE
"Lachnoanaerobaculum_umeaense",-1.83276405219782,5.35578081249553,10.2042092234199,0.845971563981043,2,-3.0129801878269,5.7733826650414,"2",FALSE,FALSE
"Capnocytophaga_gingivalis",6.35646892229198,6.40827022858712,10.2414877782434,0.845971563981043,4,7.99220075819873,5.61041765530933,"4",FALSE,FALSE
"Veillonella_infantium",-9.71682860496404,-0.047155454038692,0.154348667108878,0.845971563981043,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Prevotella_pallens",-12.5530960001671,-8.58513309511739,7.15472815046321,0.73696682464455,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Lachnoanaerobaculum_orale",-9.28665732674995,-2.80604092316644,1.34365947949707,0.73696682464455,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Solobacterium_moorei",-9.92941700135856,-5.31879145954755,7.33772127276221,0.73696682464455,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Eubacterium_yurii",7.73318933859793,5.85744393564696,6.26814528029865,0.73696682464455,4,7.99220075819873,5.61041765530933,"4",FALSE,FALSE
"Dialister_invisus",7.97911516274137,-5.5322606140873,1.0253520350078,0.73696682464455,3,9.66242027594735,-5.59787359239465,"3",FALSE,FALSE
"Prevotella_veroralis",-6.9471843820043,-12.373613833652,1.08291881373337,0.73696682464455,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Treponema_socranskii",10.3987047700646,-4.2961302817858,4.89170536033312,0.73696682464455,3,9.66242027594735,-5.59787359239465,"3",FALSE,FALSE
"Neisseria_elongata",5.96258340210353,7.58190352744058,2.6640174978616,0.73696682464455,4,7.99220075819873,5.61041765530933,"4",FALSE,FALSE
"Abiotrophia_defectiva",9.01199072396903,5.15156437327509,0.534747064499978,0.73696682464455,4,7.99220075819873,5.61041765530933,"4",FALSE,FALSE
"Gemella_morbillorum",5.7876892534673,5.93770549635264,3.54353610082175,0.73696682464455,4,7.99220075819873,5.61041765530933,"4",FALSE,FALSE
"Veillonella_tobetsuensis",-5.88402276621613,3.04823773639034,5.35616907785564,0.73696682464455,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Prevotella_oulorum",-5.52728400402723,-11.1527723813837,5.39094758337258,0.73696682464455,6,-10.5517734426121,-10.4196660345533,"6",FALSE,FALSE
"Atopobium_rimae",2.16797310729096,-10.6980361034037,-1.44276867299088,0.73696682464455,1,1.36341191803437,-2.35018635145671,"1",FALSE,FALSE
"Treponema_vincentii",6.97571186078761,-2.43336138261412,7.4065734879097,0.73696682464455,3,9.66242027594735,-5.59787359239465,"3",FALSE,FALSE
"Leptotrichia_sp_oral_taxon_215",-7.26903003472513,3.29926589773542,4.60644199949601,0.73696682464455,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Actinomyces_sp_HPA0247",-10.0436152187601,-1.23777405463737,-2.16060440876415,0.73696682464455,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
"Actinomyces_sp_S6_Spd3",-9.83508769558947,-0.890299453147141,4.09229270726695,0.73696682464455,5,-7.45942881669083,-0.223983210596994,"5",FALSE,TRUE
