"cluster"	"degree"	"betweenness"	"sHACK"	"CS"	"HS"	"SS"	"within_group_propensity"	"across_group_propensity"	"species"
"Veillonella_rogosae"	2	8	0	0.981927710843373	0.83013698630137	0.954500312809025	0.888058643412226	0.1	0	"Veillonella_rogosae"
"Haemophilus_parainfluenzae"	2	19	184.17636872931	0.971887550200803	0.975342465753425	0.998191257492281	0.749326496933172	0.15	0.0099009900990099	"Haemophilus_parainfluenzae"
"Actinobacillus_rossii"	2	1	0	0.746987951807229	0.423287671232877	0.853108918084398	0.531794893972754	0.0125	0	"Actinobacillus_rossii"
"Porphyromonas_gingivalis"	3	38	205.230158806454	0.907630522088353	0.720547945205479	0.623742003188634	0.775701531538372	0.21875	0.0376344086021505	"Porphyromonas_gingivalis"
"Streptococcus_sobrinus"	1	6	5.67582006122607	0.48995983935743	0	0.666076365764566	0.560346976041113	0.05	0.00413223140495868	"Streptococcus_sobrinus"
"Bacteroides_intestinalis"	2	3	11.2791666666667	0.765060240963855	0.423287671232877	0.640354382353535	0.701655951280078	0.025	0	"Bacteroides_intestinalis"
"Filifactor_alocis"	3	45	409.907323507694	0.736947791164659	0.782191780821918	0.366305422695808	0.623174629771452	0.291666666666667	0.0268817204301075	"Filifactor_alocis"
"Ornatilinea_apprima"	4	5	0	0.495983935742972	0	0.563333938770156	0.685245501815415	0	0.0227272727272727	"Ornatilinea_apprima"
"Mycoplasma_feliminutum"	4	2	0	0.410642570281124	0	0.432126495933483	0.797004221299094	0	0.00909090909090909	"Mycoplasma_feliminutum"
"Odoribacter_denticanis"	4	9	0.342089371980676	0.55421686746988	0	0.778687715686868	0.664680641703659	0	0.0136363636363636	"Odoribacter_denticanis"
"Bacteroides_heparinolyticus"	3	9	2.51955058830059	0.502008032128514	0	0.570862949284575	0.621367117910828	0.0208333333333333	0.00537634408602151	"Bacteroides_heparinolyticus"
"Lachnoanaerobaculum_saburreum"	3	28	483.654627636184	0.957831325301205	0.845205479452055	0.895327844039475	0.7397308540994	0.15625	0.0268817204301075	"Lachnoanaerobaculum_saburreum"
"Brachymonas_denitrificans"	2	15	137.747718997425	0.827309236947791	0.591780821917808	0.525975056002906	0.797259212583038	0.075	0.0099009900990099	"Brachymonas_denitrificans"
"Prevotella_paludivivens"	3	14	2.04717178956309	0.562248995983936	0	0.680596859801013	0.778283103321928	0.0625	0.010752688172043	"Prevotella_paludivivens"
"Streptococcus_gordonii"	3	14	17.3452571937866	0.536144578313253	0.797260273972603	0.321693911323687	0.155068519860901	0.0416666666666667	0.043010752688172	"Streptococcus_gordonii"
"Leptotrichia_hofstadii"	3	13	37.5999935951156	0.959839357429719	0.749315068493151	0.864482956953442	0.847414838134678	0.03125	0.021505376344086	"Leptotrichia_hofstadii"
"Campylobacter_mucosalis"	4	4	0.1	0.550200803212851	0	0.655081330346512	0.691586959565181	0.0161290322580645	0	"Campylobacter_mucosalis"
"Streptococcus_sanguinis"	2	40	243.831490371987	0.821285140562249	0.947945205479452	0.903559564892737	0.366267883325681	0.1875	0.099009900990099	"Streptococcus_sanguinis"
"Fusobacterium_periodonticum"	2	26	472.053424296077	1	0.991780821917808	0.983127787532038	0.999293530337027	0.175	0.0148514851485149	"Fusobacterium_periodonticum"
"Moraxella_lacunata"	4	2	0	0.449799196787149	0	0.7443349276503	0.464515410110887	0	0.00909090909090909	"Moraxella_lacunata"
"Eubacterium_minutum"	3	8	0.412175324675325	0.246987951807229	0	0.277329720893625	0.746640299127474	0.0625	0	"Eubacterium_minutum"
"Desulfomicrobium_orale"	4	4	0	0.473895582329317	0	0.944049766906823	0.51946144654995	0	0	"Desulfomicrobium_orale"
"Campylobacter_showae"	2	11	120.483999578853	0.963855421686747	0.757534246575343	0.879862868559666	0.908769614459707	0.0375	0.0247524752475248	"Campylobacter_showae"
"Tannerella_forsythia"	3	57	1336.56137210741	0.843373493975904	0.947945205479452	0.407582692579363	0.877870211338813	0.333333333333333	0.0376344086021505	"Tannerella_forsythia"
"Natranaerovirga_hydrolytica"	4	1	0	0.529116465863454	0	0.621082420132792	0.626448594985018	0	0.00454545454545455	"Natranaerovirga_hydrolytica"
"Kingella_potus"	2	3	0	0.602409638554217	0.423287671232877	0.835152166454764	0.248081578005443	0	0	"Kingella_potus"
"Capnocytophaga_granulosa"	2	27	347.661847583414	0.785140562248996	0.782191780821918	0.373532017517305	0.866946558701813	0.1125	0.0594059405940594	"Capnocytophaga_granulosa"
"Neisseria_oralis"	2	21	146.114541488211	0.917670682730924	0.671232876712329	0.729550261346895	0.701335023207965	0.15	0.0148514851485149	"Neisseria_oralis"
"Soonwooa_buanensis"	2	6	128.310256410256	0.779116465863454	0.423287671232877	0.769282355552865	0.672875367976724	0.05	0.00495049504950495	"Soonwooa_buanensis"
"Leptotrichia_hongkongensis"	3	38	981.883073788722	0.927710843373494	0.80958904109589	0.637858973582773	0.816447801475442	0.125	0.0752688172043011	"Leptotrichia_hongkongensis"
"Gemella_haemolysans"	2	13	111.267832167832	0.682730923694779	0.908219178082192	0.542300357207725	0.356027949288624	0.1125	0.00495049504950495	"Gemella_haemolysans"
"Gemella_palaticanis"	4	3	0.2	0.365461847389558	0	0.385718249883958	0.644244890467249	0	0.00909090909090909	"Gemella_palaticanis"
"Slackia_exigua"	3	17	450.266724739742	0.654618473895582	0.552054794520548	0.294101430849024	0.794564672337108	0.104166666666667	0.0161290322580645	"Slackia_exigua"
"Streptococcus_oralis"	2	10	32.6406497381561	0.572289156626506	0.836986301369863	0.470075175072148	0.124882601138353	0.05	0.00495049504950495	"Streptococcus_oralis"
"Desulfovibrio_fairfieldensis"	1	19	5.80401298758076	0.373493975903614	0	0.397704082662308	0.500247589379844	0	0.0371900826446281	"Desulfovibrio_fairfieldensis"
"Prevotella_multisaccharivorax"	1	9	88.2508215841326	0.070281124497992	0	0.137223365825109	0.176604279149249	0	0.012396694214876	"Prevotella_multisaccharivorax"
"Streptococcus_sinensis"	2	2	0.142857142857143	0.339357429718876	0	0.820972735161753	0.357164444457417	0.0125	0	"Streptococcus_sinensis"
"Desulfobulbus_propionicus"	3	17	9.95972279771748	0.299196787148594	0	0.368335654174487	0.322188029116127	0.0833333333333333	0	"Desulfobulbus_propionicus"
"Cardiobacterium_valvarum"	2	23	83.6774021879335	0.949799196787149	0.706849315068493	0.871311678876309	0.824407781018796	0.0625	0.0495049504950495	"Cardiobacterium_valvarum"
"Prevotella_pleuritidis"	3	21	55.384689030727	0.751004016064257	0.621917808219178	0.838305281427216	0.390364999230828	0.0833333333333333	0	"Prevotella_pleuritidis"
"Howardella_ureilytica"	1	15	101.823216870867	0.0180722891566265	0	0.05607202680067	0.322994943866731	0.025	0.0330578512396694	"Howardella_ureilytica"
"Propionibacterium_acidifaciens"	1	4	3.92424242424242	0.192771084337349	0	0.232933341405824	0.507403386024777	0.05	0.00413223140495868	"Propionibacterium_acidifaciens"
"Parascardovia_denticolens"	1	12	380.074022444543	0.311244979919679	0	0.327370083348469	0.334108392205898	0.125	0.0206611570247934	"Parascardovia_denticolens"
"Streptobacillus_moniliformis"	2	24	323.376988584003	0.91566265060241	0.621917808219178	0.862795705434805	0.761014437646868	0.0625	0.0247524752475248	"Streptobacillus_moniliformis"
"Selenomonas_ruminantium"	1	10	70.0735207085897	0.429718875502008	0	0.596874936933664	0.445854347554825	0.05	0.0206611570247934	"Selenomonas_ruminantium"
"Eubacterium_sulci"	2	17	417.504947878575	0.983935742971888	0.894520547945206	0.829147746765958	0.995550013841472	0.0625	0.0247524752475248	"Eubacterium_sulci"
"Desulfobulbus_rhabdoformis"	1	13	21.9010429184342	0.512048192771084	0	0.642707412564832	0.592564939291405	0	0.0206611570247934	"Desulfobulbus_rhabdoformis"
"Streptococcus_parasanguinis"	1	20	177.113345264781	0.688755020080321	0.923287671232877	0.38798238178846	0.491703440381675	0.175	0.0247933884297521	"Streptococcus_parasanguinis"
"Rothia_mucilaginosa"	4	9	0	0.660642570281124	0.958904109589041	0.648956428729995	0.248437642328803	0.0806451612903226	0.0181818181818182	"Rothia_mucilaginosa"
"Prevotella_oralis"	3	20	178.746854351278	0.558232931726908	0.591780821917808	0.269938245444088	0.202998483783397	0.135416666666667	0	"Prevotella_oralis"
"Actinomyces_graevenitzii"	4	22	134.754256686763	0.991967871485944	0.965753424657534	0.913006296542956	0.847138018157927	0.0806451612903226	0.0363636363636364	"Actinomyces_graevenitzii"
"Alloprevotella_rava"	2	11	183.579684065424	0.985943775100402	0.850684931506849	0.872211055276382	0.871231516550112	0.025	0.0099009900990099	"Alloprevotella_rava"
"Actinobacillus_porcinus"	2	3	0	0.271084337349398	0	0.294943391657081	0.874707064085421	0	0	"Actinobacillus_porcinus"
"Atopobium_parvulum"	1	36	700.659389708246	0.879518072289157	0.997260273972603	0.453583984177918	0.92838633048324	0.275	0.0495867768595041	"Atopobium_parvulum"
"Anaerovorax_odorimutans"	2	5	6.89471084471085	0.333333333333333	0	0.741905915117757	0.35476019740355	0.025	0	"Anaerovorax_odorimutans"
"Treponema_amylovorum"	3	34	175.772981534676	0.84136546184739	0.683561643835616	0.709223930899477	0.490663080644954	0.135416666666667	0.0161290322580645	"Treponema_amylovorum"
"Prevotella_nanceiensis"	2	11	171.101235894122	0.823293172690763	0.958904109589041	0.430132187039616	0.777970595648209	0.0625	0	"Prevotella_nanceiensis"
"Wolinella_succinogenes"	3	19	15.6019516975399	0.134538152610442	0	0.778687715686868	0.186167743123024	0.0625	0.0161290322580645	"Wolinella_succinogenes"
"Shuttleworthia_satelles"	3	20	38.1821487822164	0.883534136546185	0.645205479452055	0.720643680248633	0.601992312378595	0.114583333333333	0.00537634408602151	"Shuttleworthia_satelles"
"Treponema_lecithinolyticum"	3	19	35.7786582211505	0.813253012048193	0.591780821917808	0.901161530544288	0.510796527626864	0.104166666666667	0	"Treponema_lecithinolyticum"
"Streptococcus_intermedius"	1	10	9.0975393400316	0.0963855421686747	0	0.497912050210894	0.149477745036684	0	0.0165289256198347	"Streptococcus_intermedius"
"Treponema_socranskii"	3	48	362.302408118598	0.799196787148594	0.797260273972603	0.769056628524147	0.403096704046538	0.260416666666667	0.021505376344086	"Treponema_socranskii"
"Pyramidobacter_piscolens"	1	6	2.85021367521367	0.122489959839357	0	0.49558545740752	0.175378771487744	0	0.0206611570247934	"Pyramidobacter_piscolens"
"Dialister_pneumosintes"	3	39	119.236537979055	0.630522088353414	0.720547945205479	0.31713355936308	0.380146010522824	0.166666666666667	0	"Dialister_pneumosintes"
"Bacteroides_zoogleoformans"	4	8	0	0.305220883534137	0	0.794604851567072	0.324082391502679	0	0.0363636363636364	"Bacteroides_zoogleoformans"
"Selenomonas_flueggei"	3	10	44.7234657891326	0.570281124497992	0.591780821917808	0.0638824645314928	0.778428625115811	0.03125	0.0161290322580645	"Selenomonas_flueggei"
"Peptostreptococcus_stomatis"	2	22	365.064777460078	0.744979919678715	0.947945205479452	0.241425702811245	0.892294784793665	0.0625	0.0495049504950495	"Peptostreptococcus_stomatis"
"Lactobacillus_reuteri"	1	7	2.84285714285714	0.0582329317269076	0	0.133704466105629	0.127849139117037	0.075	0.012396694214876	"Lactobacillus_reuteri"
"Butyrivibrio_fibrisolvens"	4	4	1.04166666666667	0.769076305220884	0.423287671232877	0.858649875885451	0.65152282285642	0.0161290322580645	0	"Butyrivibrio_fibrisolvens"
"Mycoplasma_salivarium"	3	13	4.17479305610111	0.35140562248996	0	0.733419809892838	0.362098401305964	0.0729166666666667	0.00537634408602151	"Mycoplasma_salivarium"
"Mobiluncus_curtisii"	4	8	70.882977900236	0.437751004016064	0	0.455813505277391	0.552430665647988	0.032258064516129	0.00454545454545455	"Mobiluncus_curtisii"
"Prevotella_aurantiaca"	2	12	130.767946506319	0.953815261044177	0.671232876712329	0.942235777279974	0.944039679476739	0.0375	0.00495049504950495	"Prevotella_aurantiaca"
"Leptotrichia_shahii"	2	19	222.260058445467	0.79718875502008	0.76986301369863	0.442506912070392	0.683515612656499	0.0625	0.0198019801980198	"Leptotrichia_shahii"
"Capnocytophaga_ochracea"	3	49	787.309208571858	0.845381526104418	0.887671232876712	0.534028677524167	0.645360891296053	0.1875	0.0537634408602151	"Capnocytophaga_ochracea"
